Key,Process Order Number,Order Type (packaging or repackaging),Material Number,Product Name,Process Order Creation Date,Batch Number,Process Order Release Date,Packaging Line  Start,Packaging Line Finish,Packaging  Final Check Date,BRR Start Date,BRR End Date,QA Release Date,Product,Batch Status,PO Create to PO Release,PO Release to Pkg Start,Pkg Start to Pkg Finish,Pkg Finish to Pkg Final Check,Pkg Final Check to BRR Begin,BRR Begin To BRR Finish,BRR Finish to QP Release,FG E2E,Check
10112506H0547H24,3025320,ZSP1,10112506,MIRCERA 200MCG/.3ML 1 ASRG SE-FI,17-Dec-14,H0547H24,17-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,22-Jan-15,23-Jan-15,MIRCERA ,7,0,22,0,4,0,10,1,37,TRUE
10095566H0018H27,3025321,ZSP1,10095566,MIRCERA 360MCG/0.6ML 1ASRG CZSKHUSI,17-Dec-14,H0018H27,17-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,21-Jan-15,21-Jan-15,MIRCERA ,7,0,22,0,4,0,9,0,35,TRUE
10134307H0018H29,3025322,ZSP1,10134307,MIRCERA 360MCG/0.6ML 1ASRG ZA,17-Dec-14,H0018H29,17-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,19-Jan-15,20-Jan-15,MIRCERA ,7,0,22,0,4,0,7,1,34,TRUE
10095677H0548H02,3025329,ZSP1,10095677,MIRCERA 30MCG/.3ML 1 ASRG ES-PT,18-Dec-14,H0548H02,18-Dec-14,8-Jan-15,8-Jan-15,12-Jan-15,12-Jan-15,14-Jan-15,15-Jan-15,MIRCERA ,7,0,21,0,4,0,2,1,28,TRUE
10159054H0143H03,3025056,ZSP1,10159054,ALTUZAN 100MG/4ML 1VIAL TR,1-Dec-14,H0143H03,7-Jan-15,9-Jan-15,10-Jan-15,12-Jan-15,12-Jan-15,2-Feb-15,3-Feb-15,ALTUZAN ,7,37,2,1,2,0,21,1,64,TRUE
10159052H0143H01,3025057,ZSP1,10159052,AVASTIN 100MG/4ML 1VIAL BR,1-Dec-14,H0143H01,7-Jan-15,8-Jan-15,9-Jan-15,12-Jan-15,12-Jan-15,2-Feb-15,3-Feb-15,AVASTIN ,7,37,1,1,3,0,21,1,64,TRUE
10137400H0630H04,3025268,ZSP1,10137400,RECORMON 5000IU/0.3ML 6ASRG FE-KR,9-Dec-14,H0630H04,7-Jan-15,9-Jan-15,9-Jan-15,12-Jan-15,12-Jan-15,20-Jan-15,21-Jan-15,RECORMON ,7,29,2,0,3,0,8,1,43,TRUE
10098942H0561H36,3025294,ZSP1,10098942,MIRCERA 100MCG/.3ML 1 ASRG DE,16-Dec-14,H0561H36,19-Dec-14,8-Jan-15,9-Jan-15,12-Jan-15,12-Jan-15,22-Jan-15,23-Jan-15,MIRCERA ,7,3,20,1,3,0,10,1,38,TRUE
10108988H6245H12,3025299,ZSP1,10108988,NEORECOR 4000IU/0.3ML 1ASRG FR-CLIN,17-Dec-14,H6245H12,17-Dec-14,9-Jan-15,10-Jan-15,12-Jan-15,12-Jan-15,22-Jan-15,23-Jan-15,NEORECOR ,7,0,23,1,2,0,10,1,37,TRUE
10107352H0561H37,3025307,ZSP1,10107352,MIRCERA 100MCG/.3ML 1 ASRG FE-36,16-Dec-14,H0561H37,19-Dec-14,9-Jan-15,9-Jan-15,12-Jan-15,12-Jan-15,9-Feb-15,9-Feb-15,MIRCERA ,7,3,21,0,3,0,28,0,55,TRUE
10095633H0561H39,3025401,ZSP1,10095633,MIRCERA 100MCG/.3ML 1 ASRG RO-BG-PL,19-Dec-14,H0561H39,19-Dec-14,9-Jan-15,9-Jan-15,12-Jan-15,12-Jan-15,15-Jan-15,15-Jan-15,MIRCERA ,7,0,21,0,3,0,3,0,27,TRUE
10108988H6246H01,3024575,ZSP1,10108988,NEORECOR 4000IU/0.3ML 1ASRG FR-CLIN,30-Oct-14,H6246H01,17-Dec-14,10-Jan-15,10-Jan-15,12-Jan-14,12-Jan-14,15-Jan-15,16-Jan-15,NEORECOR ,7,48,24,0,0,0,0,1,78,0
10109017H0612H11,3024604,ZSP1,10109017,NEORECOR 6000IU/0.3ML 1ASRG FR-CLIN,31-Oct-14,H0612H11,17-Dec-14,10-Jan-15,12-Jan-15,13-Jan-15,13-Jan-15,15-Jan-15,16-Jan-15,NEORECOR ,7,47,24,2,1,0,2,1,77,TRUE
10159053H0143H02,3025034,ZSP1,10159053,AVASTIN 100MG/4ML 1VIAL KR,1-Dec-14,H0143H02,7-Jan-15,10-Jan-15,12-Jan-15,13-Jan-15,13-Jan-15,2-Feb-15,3-Feb-15,AVASTIN ,7,37,3,2,1,0,20,1,64,TRUE
10109007H6212H04,3025127,ZSP1,10109007,NEORECOR 5000IU/.3ML 1 ASRG FR-CLIN,3-Dec-14,H6212H04,17-Dec-14,12-Jan-15,12-Jan-15,14-Jan-15,14-Jan-15,26-Jan-15,26-Jan-15,NEORECOR ,7,14,26,0,2,0,12,0,54,TRUE
10095635H0546H28,3025271,ZSP1,10095635,MIRCERA 120MCG/0.3ML 1ASRG CZSKHUSI,11-Dec-14,H0546H28,15-Dec-14,7-Jan-15,13-Jan-15,8-Jan-15,8-Jan-15,16-Jan-15,16-Jan-15,MIRCERA ,7,4,23,6,-5,0,8,0,36,TRUE
10098943H0546H24,3025284,ZSP1,10098943,MIRCERA 120MCG/0.3ML 1ASRG DE,11-Dec-14,H0546H24,12-Dec-14,7-Jan-15,13-Jan-15,8-Jan-15,8-Jan-15,19-Jan-15,19-Jan-15,MIRCERA ,7,1,26,6,-5,0,11,0,39,TRUE
10108948H6263H01,3025287,ZSP1,10108948,NEORECOR 2000IU/0.3ML 1ASRG FR-CLIN,15-Dec-14,H6263H01,18-Dec-14,12-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,27-Jan-15,29-Jan-15,NEORECOR ,7,3,25,1,1,0,13,2,45,TRUE
10130023H0561H40,3025295,ZSP1,10130023,MIRCERA 100MCG/0.3ML 1ASRG KR,16-Dec-14,H0561H40,8-Jan-15,9-Jan-15,12-Jan-15,12-Jan-15,12-Jan-15,22-Jan-15,23-Jan-15,MIRCERA ,7,23,1,3,0,0,10,1,38,TRUE
10095648H0548H22,3025296,ZSP1,10095648,MIRCERA 150MCG/.3ML 1 ASRG FR,16-Dec-14,H0548H22,19-Dec-14,12-Jan-15,12-Jan-15,13-Jan-15,13-Jan-15,19-Jan-15,19-Jan-15,MIRCERA ,7,3,24,0,1,0,6,0,34,TRUE
10085298H0561H41,3025309,ZSP1,10085298,MIRCERA 100MCG/.3ML 1 ASRG AR,16-Dec-14,H0561H41,8-Jan-15,12-Jan-15,12-Jan-15,12-Jan-15,12-Jan-15,26-Jan-15,27-Jan-15,MIRCERA ,7,23,4,0,0,0,14,1,42,TRUE
10071612H6247H07,3025340,ZSP1,10071612,BONVIVA 3MG/3ML 1ASRG PL,18-Dec-14,H6247H07,18-Dec-14,12-Jan-15,12-Jan-15,12-Jan-15,12-Jan-15,30-Jan-15,30-Jan-15,BONVIVA ,7,0,25,0,0,0,18,0,43,TRUE
10088000H6246H06,3025341,ZSP1,10088000,BONVIVA 3MG/3ML 1ASRG TR,18-Dec-14,H6246H06,18-Dec-14,12-Jan-15,12-Jan-15,12-Jan-15,12-Jan-15,23-Jan-15,23-Jan-15,BONVIVA ,7,0,25,0,0,0,11,0,36,TRUE
10097663H6246H08,3025342,ZSP1,10097663,BONVIVA 3MG/3ML 1 ASRG PK,18-Dec-14,H6246H08,9-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,26-Jan-15,26-Jan-15,BONVIVA ,7,22,4,1,0,0,12,0,39,TRUE
10071609H6247H08,3025343,ZSP1,10071609,BONVIVA 3MG/3ML 1ASRG HU-SI,18-Dec-14,H6247H08,18-Dec-14,12-Jan-15,12-Jan-15,12-Jan-15,12-Jan-15,21-Jan-15,21-Jan-15,BONVIVA ,7,0,25,0,0,0,9,0,34,TRUE
10084182H6246H07,3025344,ZSP1,10084182,BONVIVA 3MG/3ML 1ASRG MX,18-Dec-14,H6246H07,18-Dec-14,14-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,26-Jan-15,26-Jan-15,BONVIVA ,7,0,27,0,0,0,12,0,39,TRUE
10145649H6247H10,3025345,ZSP1,10145649,BONVIVA 3MG/3ML 1ASRG PRISA,18-Dec-14,H6247H10,18-Dec-14,12-Jan-15,12-Jan-15,12-Jan-15,12-Jan-15,26-Jan-15,27-Jan-15,BONVIVA ,7,0,25,0,0,0,14,1,40,TRUE
10095645H0548H21,3025402,ZSP1,10095645,MIRCERA 150MCG/.3ML 1 ASRG CZSKHUSI,19-Dec-14,H0548H21,19-Dec-14,12-Jan-15,12-Jan-15,13-Jan-15,13-Jan-15,23-Jan-15,26-Jan-15,MIRCERA ,7,0,24,0,1,0,10,3,38,TRUE
10159518B8501H16,3025483,ZSP1,10159518,AVASTIN 400MG/16ML 1VIAL DK-NO-IS,8-Jan-15,B8501H16,9-Jan-15,12-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,15-Jan-15,16-Jan-15,AVASTIN ,7,1,3,1,1,0,1,1,8,TRUE
10159228H4520H01,3024954,ZSP1,10159228,HERCEPTI 150MG 1VILY IV BE,1-Dec-14,H4520H01,22-Dec-14,13-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,16-Jan-15,16-Jan-15,HERCEPTI ,7,21,22,1,0,0,2,0,46,TRUE
10110621H0631H03,3025106,ZSP1,10110621,RECORMON 10000IU/0.6ML 1ASRG FE,3-Dec-14,H0631H03,9-Dec-14,13-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,19-Jan-15,19-Jan-15,RECORMON ,7,6,35,0,1,0,5,0,47,TRUE
10095595H0550H26,3025137,ZSP1,10095595,MIRCERA 75MCG/.3ML 1 ASRG CZSKHUSI,3-Dec-14,H0550H26,8-Jan-15,13-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,26-Jan-15,26-Jan-15,MIRCERA ,7,36,5,0,1,0,12,0,54,TRUE
10125527H0517H02,3025160,ZSP1,10125527,MIRCERA 50MCG/0.3ML 1ASRG UA,3-Dec-14,H0517H02,9-Jan-15,13-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,16-Jan-15,16-Jan-15,MIRCERA ,7,37,4,0,1,0,2,0,44,TRUE
10108968H6216H07,3025305,ZSP1,10108968,NEORECOR 3000IU/0.3ML 1ASRG FR-CLIN,16-Dec-14,H6216H07,17-Dec-14,13-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,21-Jan-15,21-Jan-15,NEORECOR ,7,1,27,0,1,0,7,0,36,TRUE
10112468H0548H20,3025310,ZSP1,10112468,MIRCERA 150MCG/.3ML 1 ASRG DK-NO-IS,16-Dec-14,H0548H20,19-Dec-14,12-Jan-15,13-Jan-15,13-Jan-15,13-Jan-15,15-Jan-15,15-Jan-15,MIRCERA ,7,3,24,1,0,0,2,0,30,TRUE
10095650H0548H23,3025311,ZSP1,10095650,MIRCERA 150MCG/.3ML 1 ASRG GB-IE-GRCY,16-Dec-14,H0548H23,8-Jan-15,13-Jan-15,13-Jan-15,13-Jan-15,13-Jan-15,22-Jan-15,0,MIRCERA ,7,23,5,0,0,0,9,0,0,0
10098951H0547H11,3025323,ZSP1,10098951,MIRCERA 250MCG/.3ML 1 ASRG DE,17-Dec-14,H0547H11,8-Jan-15,13-Jan-15,13-Jan-15,13-Jan-15,13-Jan-15,26-Jan-15,26-Jan-15,MIRCERA ,7,22,5,0,0,0,13,0,40,TRUE
10075877H6246H05,3025326,ZSP1,10075877,BONVIVA 3MG/3ML 1ASRG BG,18-Dec-14,H6246H05,18-Dec-14,14-Jan-15,15-Jan-15,16-Jan-15,16-Jan-15,26-Jan-15,26-Jan-15,BONVIVA ,7,0,27,1,1,0,10,0,39,TRUE
10079911H6247H11,3025331,ZSP1,10079911,BONVIVA 3MG/3ML 1ASRG AT,18-Dec-14,H6247H11,18-Dec-14,13-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,26-Jan-15,26-Jan-15,BONVIVA ,7,0,26,0,1,0,12,0,39,TRUE
10120404H6247H09,3025347,ZSP1,10120404,BONVIVA 3MG/3ML 1ASRG RS,18-Dec-14,H6247H09,18-Dec-14,12-Jan-15,13-Jan-15,13-Jan-15,13-Jan-15,17-Feb-15,18-Feb-15,BONVIVA ,7,0,25,1,0,0,35,1,62,TRUE
10095584H0517H04,3025448,ZSP1,10095584,MIRCERA 50MCG/.3ML 1 ASRG CZSKHUSI,8-Jan-15,H0517H04,12-Jan-15,13-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,26-Jan-15,26-Jan-15,MIRCERA ,7,4,1,0,1,0,12,0,18,TRUE
10138546H0517H03,3025449,ZSP1,10138546,MIRCERA 50MCG/0.3ML 1ASRG AZ,8-Jan-15,H0517H03,9-Jan-15,13-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,26-Jan-15,27-Jan-15,MIRCERA ,7,1,4,0,1,0,12,1,19,TRUE
10095665H0547H12,3025450,ZSP1,10095665,MIRCERA 250MCG/.3ML 1 ASRG CZSKHUSI,8-Jan-15,H0547H12,9-Jan-15,13-Jan-15,13-Jan-15,13-Jan-15,13-Jan-15,30-Jan-15,2-Feb-15,MIRCERA ,7,1,4,0,0,0,17,3,25,TRUE
10095654H0547H25,3025460,ZSP1,10095654,MIRCERA 200MCG/.3ML 1 ASRG CZSKHUSI,8-Jan-15,H0547H25,9-Jan-15,13-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,30-Jan-15,2-Feb-15,MIRCERA ,7,1,4,0,1,0,16,3,25,TRUE
10110662H0566H13,3024481,ZSP1,10110662,RECORMON 3000IU/.3ML 6 ASRG EFA,27-Oct-14,H0566H13,23-Dec-14,14-Jan-15,15-Jan-15,14-Jan-14,14-Jan-14,27-Jan-15,28-Jan-15,RECORMON ,7,57,22,1,0,0,0,1,93,0
10112465H0550H28,3025119,ZSP1,10112465,MIRCERA 75MCG/.3ML 1 ASRG DK-NO-IS,3-Dec-14,H0550H28,9-Jan-15,13-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,19-Jan-15,19-Jan-15,MIRCERA ,7,37,4,1,0,0,5,0,47,TRUE
10121904H0550H32,3025140,ZSP1,10121904,MIRCERA 75MCG/.3ML 1 ASRG ZA,3-Dec-14,H0550H32,13-Jan-15,14-Jan-15,14-Jan-15,16-Jan-15,16-Jan-15,20-Jan-15,20-Jan-15,MIRCERA ,7,41,1,0,2,0,4,0,48,TRUE
10159236H4522H01,3025237,ZSP1,10159236,HERCEPTI 150MG 1VILY IV ES,5-Dec-14,H4522H01,23-Dec-14,14-Jan-15,15-Jan-15,16-Jan-15,16-Jan-15,22-Jan-15,23-Jan-15,HERCEPTI ,7,18,22,1,1,0,6,1,49,TRUE
10108968H6217H01,3025288,ZSP1,10108968,NEORECOR 3000IU/0.3ML 1ASRG FR-CLIN,16-Dec-14,H6217H01,17-Dec-14,13-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,21-Jan-15,21-Jan-15,NEORECOR ,7,1,27,1,0,0,7,0,36,TRUE
10108969H6217H02,3025290,ZSP1,10108969,NEORECOR 3000IU/.3ML 1 ASRG IT-PU,16-Dec-14,H6217H02,17-Dec-14,14-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,19-Jan-15,19-Jan-15,NEORECOR ,7,1,28,0,0,0,5,0,34,TRUE
10095599H0550H27,3025297,ZSP1,10095599,MIRCERA 75MCG/.3ML 1 ASRG ES-PT,17-Dec-14,H0550H27,9-Jan-15,14-Jan-15,14-Jan-15,15-Jan-15,15-Jan-15,27-Jan-15,28-Jan-15,MIRCERA ,7,23,5,0,1,0,12,1,42,TRUE
10078688H0548H25,3025312,ZSP1,10078688,MIRCERA 150MCG/0.3ML 1ASRG CH,16-Dec-14,H0548H25,9-Jan-15,14-Jan-15,14-Jan-15,15-Jan-15,15-Jan-15,26-Jan-15,27-Jan-15,MIRCERA ,7,24,5,0,1,0,11,1,42,TRUE
10095646H0548H24,3025315,ZSP1,10095646,MIRCERA 150MCG/.3ML 1 ASRG BE-NL,16-Dec-14,H0548H24,9-Jan-15,14-Jan-15,14-Jan-15,15-Jan-15,15-Jan-15,28-Jan-15,28-Jan-15,MIRCERA ,7,24,5,0,1,0,13,0,43,TRUE
10083396H0676H01,3025348,ZSP1,10083396,RECORMON 50000IU 1VILY BA,18-Dec-14,H0676H01,19-Dec-14,13-Jan-15,14-Jan-15,15-Jan-14,15-Jan-14,26-Jan-15,26-Jan-15,RECORMON ,7,1,25,1,0,0,0,0,39,0
10095622H0550H30,3025452,ZSP1,10095622,MIRCERA 75MCG/.3ML 1 ASRG IT-PU,8-Jan-15,H0550H30,12-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,22-Jan-15,23-Jan-15,MIRCERA ,7,4,2,0,0,0,8,1,15,TRUE
10138547H0550H29,3025465,ZSP1,10138547,MIRCERA 75MCG/0.3ML 1ASRG AZ,8-Jan-15,H0550H29,9-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,26-Jan-15,27-Jan-15,MIRCERA ,7,1,5,0,0,0,12,1,19,TRUE
10095598H0550H31,3025466,ZSP1,10095598,MIRCERA 75MCG/.3ML 1 ASRG ELL,8-Jan-15,H0550H31,13-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,14-Jan-15,28-Jan-15,28-Jan-15,MIRCERA ,7,5,1,0,0,0,14,0,20,TRUE
10110640H0799H05,3024482,ZSP1,10110640,RECORMON 2000IU/.3ML 6 ASRG EFA,27-Oct-14,H0799H05,7-Jan-15,15-Jan-15,16-Jan-15,14-Jan-14,14-Jan-14,21-Jan-15,21-Jan-15,RECORMON ,7,72,8,1,0,0,0,0,86,0
10130025H0548H27,3024904,ZSP1,10130025,MIRCERA 150MCG/0.3ML 1ASRG KR,18-Nov-14,H0548H27,9-Jan-15,15-Jan-15,15-Jan-15,16-Jan-15,16-Jan-15,28-Jan-15,28-Jan-15,MIRCERA ,7,52,6,0,1,0,12,0,71,TRUE
10159257H4518H05,3024968,ZSP1,10159257,HERCEPTI 150MG 1VILY IV HR,1-Dec-14,H4518H05,22-Dec-14,15-Jan-15,15-Jan-15,16-Jan-15,16-Jan-15,21-Jan-15,21-Jan-15,HERCEPTI ,7,21,24,0,1,0,5,0,51,TRUE
10110663H0566H14,3025289,ZSP1,10110663,RECORMON 3000IU/.3ML 6 ASRG FE,16-Dec-14,H0566H14,2-Jan-15,15-Jan-15,15-Jan-15,16-Jan-15,16-Jan-15,20-Jan-15,21-Jan-15,RECORMON ,7,17,13,0,1,0,4,1,36,TRUE
10095629H0561H38,3025308,ZSP1,10095629,MIRCERA 100MCG/.3ML 1 ASRG FR,16-Dec-14,H0561H38,14-Jan-15,15-Jan-15,15-Jan-15,16-Jan-15,16-Jan-15,22-Jan-15,23-Jan-15,MIRCERA ,7,29,1,0,1,0,6,1,38,TRUE
10107354H0550H01,3025313,ZSP1,10107354,MIRCERA 150MCG/.3ML 1 ASRG FE-36,16-Dec-14,H0550H01,14-Jan-15,15-Jan-15,15-Jan-15,16-Jan-15,16-Jan-15,9-Feb-15,9-Feb-15,MIRCERA ,7,29,1,0,1,0,24,0,55,TRUE
10095647H0548H26,3025314,ZSP1,10095647,MIRCERA 150MCG/.3ML 1 ASRG ES-PT,16-Dec-14,H0548H26,9-Jan-15,14-Jan-15,15-Jan-15,15-Jan-15,15-Jan-15,28-Jan-15,28-Jan-15,MIRCERA ,7,24,5,1,0,0,13,0,43,TRUE
10086767H6246H10,3025325,ZSP1,10086767,BONVIVA 3MG/3ML 1ASRG CIS,18-Dec-14,H6246H10,14-Jan-15,15-Jan-15,16-Jan-15,16-Jan-15,16-Jan-15,28-Jan-15,28-Jan-15,BONVIVA ,7,27,1,1,0,0,12,0,41,TRUE
