Key,Process Order Number,Order Type (packaging or repackaging),Material Number,Product Name,Process Order Creation Date,Batch Number,Process Order Release Date,Packaging Start Date,Packaging End Date,Packaging Head Pkg Sigoff,BRR Start,BRR End,QA Release Date,Product,Batch Status,PO Crearte to Release,Release to Pkg Start,Pkg Start to Finish,PKG Finish to BRR Begin,BRR Start To Finish,BRR Finish to QP Release,FG E2E,Check
10112463H0547H38,3025117,ZSP1,10112463,MIRCERA 30MCG/.3ML 1 ASRG DK-NO-IS,12/3/2014,H0547H38,12/18/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/16/2015,1/16/2015,MIRCERA,7,15,21,4,0,4,0,44,TRUE
10110681H6212H05,3025128,ZSP1,10110681,RECORMON 5000IU/.3ML 6 ASRG CH,12/3/2014,H6212H05,12/19/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/22/2015,1/23/2015,RECORMON,7,16,20,4,0,10,1,51,TRUE
10095681H0547H39,3025142,ZSP1,10095681,MIRCERA 30MCG/.3ML 1 ASRG IT-PU,12/3/2014,H0547H39,1/7/2015,1/7/2015,1/8/2015,1/8/2015,1/8/2015,1/15/2015,1/16/2015,MIRCERA,7,35,0,1,0,7,1,44,TRUE
10140205H0547H37,3025286,ZSP1,10140205,MIRCERA 30MCG/0.3ML 1ASRG ZA,12/12/2014,H0547H37,12/18/2014,1/8/2015,1/8/2015,1/8/2015,1/8/2015,1/19/2015,1/20/2015,MIRCERA,7,6,21,0,0,11,1,39,TRUE
10142035H0561H35,3025293,ZSP1,10142035,MIRCERA 100MCG/0.3ML 1ASRG UY-BO-PY,12/16/2014,H0561H35,12/19/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/21/2015,1/21/2015,MIRCERA,7,3,20,4,0,9,0,36,TRUE
10128554H0018H28,3025298,ZSP1,10128554,MIRCERA 360MCG/0.6ML 1ASRG PT,12/17/2014,H0018H28,12/17/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/14/2015,1/15/2015,MIRCERA,7,0,22,4,0,2,1,29,TRUE
10112466H0561H34,3025306,ZSP1,10112466,MIRCERA 100MCG/.3ML 1 ASRG DK-NO-IS,12/16/2014,H0561H34,12/19/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/19/2015,1/19/2015,MIRCERA,7,3,20,4,0,7,0,34,TRUE
10095656H0547H23,3025319,ZSP1,10095656,MIRCERA 200MCG/.3ML 1 ASRG ELL,12/17/2014,H0547H23,12/17/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/21/2015,1/21/2015,MIRCERA,7,0,22,4,0,9,0,35,TRUE
10112506H0547H24,3025320,ZSP1,10112506,MIRCERA 200MCG/.3ML 1 ASRG SE-FI,12/17/2014,H0547H24,12/17/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/22/2015,1/23/2015,MIRCERA,7,0,22,4,0,10,1,37,TRUE
10095566H0018H27,3025321,ZSP1,10095566,MIRCERA 360MCG/0.6ML 1ASRG CZSKHUSI,12/17/2014,H0018H27,12/17/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/21/2015,1/21/2015,MIRCERA,7,0,22,4,0,9,0,35,TRUE
10134307H0018H29,3025322,ZSP1,10134307,MIRCERA 360MCG/0.6ML 1ASRG ZA,12/17/2014,H0018H29,12/17/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/19/2015,1/20/2015,MIRCERA,7,0,22,4,0,7,1,34,TRUE
10095677H0548H02,3025329,ZSP1,10095677,MIRCERA 30MCG/.3ML 1 ASRG ES-PT,12/18/2014,H0548H02,12/18/2014,1/8/2015,1/8/2015,1/12/2015,1/12/2015,1/14/2015,1/15/2015,MIRCERA,7,0,21,4,0,2,1,28,TRUE
10159054H0143H03,3025056,ZSP1,10159054,ALTUZAN 100MG/4ML 1VIAL TR,12/1/2014,H0143H03,1/7/2015,1/9/2015,1/10/2015,1/12/2015,1/12/2015,2/2/2015,2/3/2015,ALTUZAN,7,37,2,3,0,21,1,64,TRUE
10159052H0143H01,3025057,ZSP1,10159052,AVASTIN 100MG/4ML 1VIAL BR,12/1/2014,H0143H01,1/7/2015,1/8/2015,1/9/2015,1/12/2015,1/12/2015,2/2/2015,2/3/2015,AVASTIN,7,37,1,4,0,21,1,64,TRUE
10137400H0630H04,3025268,ZSP1,10137400,RECORMON 5000IU/0.3ML 6ASRG FE-KR,12/9/2014,H0630H04,1/7/2015,1/9/2015,1/9/2015,1/12/2015,1/12/2015,1/20/2015,1/21/2015,RECORMON,7,29,2,3,0,8,1,43,TRUE
10098942H0561H36,3025294,ZSP1,10098942,MIRCERA 100MCG/.3ML 1 ASRG DE,12/16/2014,H0561H36,12/19/2014,1/8/2015,1/9/2015,1/12/2015,1/12/2015,1/22/2015,1/23/2015,MIRCERA,7,3,20,4,0,10,1,38,TRUE
10108988H6245H12,3025299,ZSP1,10108988,NEORECOR 4000IU/0.3ML 1ASRG FR-CLIN,12/17/2014,H6245H12,12/17/2014,1/9/2015,1/10/2015,1/12/2015,1/12/2015,1/22/2015,1/23/2015,NEORECOR,7,0,23,3,0,10,1,37,TRUE
10107352H0561H37,3025307,ZSP1,10107352,MIRCERA 100MCG/.3ML 1 ASRG FE-36,12/16/2014,H0561H37,12/19/2014,1/9/2015,1/9/2015,1/12/2015,1/12/2015,2/9/2015,2/9/2015,MIRCERA,7,3,21,3,0,28,0,55,TRUE
10095633H0561H39,3025401,ZSP1,10095633,MIRCERA 100MCG/.3ML 1 ASRG RO-BG-PL,12/19/2014,H0561H39,12/19/2014,1/9/2015,1/9/2015,1/12/2015,1/12/2015,1/15/2015,1/15/2015,MIRCERA,7,0,21,3,0,3,0,27,TRUE
10109017H0612H11,3024604,ZSP1,10109017,NEORECOR 6000IU/0.3ML 1ASRG FR-CLIN,10/31/2014,H0612H11,12/17/2014,1/10/2015,1/12/2015,1/13/2015,1/13/2015,1/15/2015,1/16/2015,NEORECOR,7,47,24,3,0,2,1,77,TRUE
10159053H0143H02,3025034,ZSP1,10159053,AVASTIN 100MG/4ML 1VIAL KR,12/1/2014,H0143H02,1/7/2015,1/10/2015,1/12/2015,1/13/2015,1/13/2015,2/2/2015,2/3/2015,AVASTIN,7,37,3,3,0,20,1,64,TRUE
10109007H6212H04,3025127,ZSP1,10109007,NEORECOR 5000IU/.3ML 1 ASRG FR-CLIN,12/3/2014,H6212H04,12/17/2014,1/12/2015,1/12/2015,1/14/2015,1/14/2015,1/26/2015,1/26/2015,NEORECOR,7,14,26,2,0,12,0,54,TRUE
10095635H0546H28,3025271,ZSP1,10095635,MIRCERA 120MCG/0.3ML 1ASRG CZSKHUSI,12/11/2014,H0546H28,12/15/2014,1/7/2015,1/13/2015,1/8/2015,1/8/2015,1/16/2015,1/16/2015,MIRCERA,7,4,23,1,0,8,0,36,TRUE
10098943H0546H24,3025284,ZSP1,10098943,MIRCERA 120MCG/0.3ML 1ASRG DE,12/11/2014,H0546H24,12/12/2014,1/7/2015,1/13/2015,1/8/2015,1/8/2015,1/19/2015,1/19/2015,MIRCERA,7,1,26,1,0,11,0,39,TRUE
10108948H6263H01,3025287,ZSP1,10108948,NEORECOR 2000IU/0.3ML 1ASRG FR-CLIN,12/15/2014,H6263H01,12/18/2014,1/12/2015,1/13/2015,1/14/2015,1/14/2015,1/27/2015,1/29/2015,NEORECOR,7,3,25,2,0,13,2,45,TRUE
10130023H0561H40,3025295,ZSP1,10130023,MIRCERA 100MCG/0.3ML 1ASRG KR,12/16/2014,H0561H40,1/8/2015,1/9/2015,1/12/2015,1/12/2015,1/12/2015,1/22/2015,1/23/2015,MIRCERA,7,23,1,3,0,10,1,38,TRUE
10095648H0548H22,3025296,ZSP1,10095648,MIRCERA 150MCG/.3ML 1 ASRG FR,12/16/2014,H0548H22,12/19/2014,1/12/2015,1/12/2015,1/13/2015,1/13/2015,1/19/2015,1/19/2015,MIRCERA,7,3,24,1,0,6,0,34,TRUE
10085298H0561H41,3025309,ZSP1,10085298,MIRCERA 100MCG/.3ML 1 ASRG AR,12/16/2014,H0561H41,1/8/2015,1/12/2015,1/12/2015,1/12/2015,1/12/2015,1/26/2015,1/27/2015,MIRCERA,7,23,4,0,0,14,1,42,TRUE
10071612H6247H07,3025340,ZSP1,10071612,BONVIVA 3MG/3ML 1ASRG PL,12/18/2014,H6247H07,12/18/2014,1/12/2015,1/12/2015,1/12/2015,1/12/2015,1/30/2015,1/30/2015,BONVIVA,7,0,25,0,0,18,0,43,TRUE
10088000H6246H06,3025341,ZSP1,10088000,BONVIVA 3MG/3ML 1ASRG TR,12/18/2014,H6246H06,12/18/2014,1/12/2015,1/12/2015,1/12/2015,1/12/2015,1/23/2015,1/23/2015,BONVIVA,7,0,25,0,0,11,0,36,TRUE
10097663H6246H08,3025342,ZSP1,10097663,BONVIVA 3MG/3ML 1 ASRG PK,12/18/2014,H6246H08,1/9/2015,1/13/2015,1/14/2015,1/14/2015,1/14/2015,1/26/2015,1/26/2015,BONVIVA,7,22,4,1,0,12,0,39,TRUE
10071609H6247H08,3025343,ZSP1,10071609,BONVIVA 3MG/3ML 1ASRG HU-SI,12/18/2014,H6247H08,12/18/2014,1/12/2015,1/12/2015,1/12/2015,1/12/2015,1/21/2015,1/21/2015,BONVIVA,7,0,25,0,0,9,0,34,TRUE
10084182H6246H07,3025344,ZSP1,10084182,BONVIVA 3MG/3ML 1ASRG MX,12/18/2014,H6246H07,12/18/2014,1/14/2015,1/14/2015,1/14/2015,1/14/2015,1/26/2015,1/26/2015,BONVIVA,7,0,27,0,0,12,0,39,TRUE
10145649H6247H10,3025345,ZSP1,10145649,BONVIVA 3MG/3ML 1ASRG PRISA,12/18/2014,H6247H10,12/18/2014,1/12/2015,1/12/2015,1/12/2015,1/12/2015,1/26/2015,1/27/2015,BONVIVA,7,0,25,0,0,14,1,40,TRUE
10095645H0548H21,3025402,ZSP1,10095645,MIRCERA 150MCG/.3ML 1 ASRG CZSKHUSI,12/19/2014,H0548H21,12/19/2014,1/12/2015,1/12/2015,1/13/2015,1/13/2015,1/23/2015,1/26/2015,MIRCERA,7,0,24,1,0,10,3,38,TRUE
10159518B8501H16,3025483,ZSP1,10159518,AVASTIN 400MG/16ML 1VIAL DK-NO-IS,1/8/2015,B8501H16,1/9/2015,1/12/2015,1/13/2015,1/14/2015,1/14/2015,1/15/2015,1/16/2015,AVASTIN,7,1,3,2,0,1,1,8,TRUE
10159228H4520H01,3024954,ZSP1,10159228,HERCEPTI 150MG 1VILY IV BE,12/1/2014,H4520H01,12/22/2014,1/13/2015,1/14/2015,1/14/2015,1/14/2015,1/16/2015,1/16/2015,HERCEPTI,7,21,22,1,0,2,0,46,TRUE
10110621H0631H03,3025106,ZSP1,10110621,RECORMON 10000IU/0.6ML 1ASRG FE,12/3/2014,H0631H03,12/9/2014,1/13/2015,1/13/2015,1/14/2015,1/14/2015,1/19/2015,1/19/2015,RECORMON,7,6,35,1,0,5,0,47,TRUE
10095595H0550H26,3025137,ZSP1,10095595,MIRCERA 75MCG/.3ML 1 ASRG CZSKHUSI,12/3/2014,H0550H26,1/8/2015,1/13/2015,1/13/2015,1/14/2015,1/14/2015,1/26/2015,1/26/2015,MIRCERA,7,36,5,1,0,12,0,54,TRUE
10125527H0517H02,3025160,ZSP1,10125527,MIRCERA 50MCG/0.3ML 1ASRG UA,12/3/2014,H0517H02,1/9/2015,1/13/2015,1/13/2015,1/14/2015,1/14/2015,1/16/2015,1/16/2015,MIRCERA,7,37,4,1,0,2,0,44,TRUE
10108968H6216H07,3025305,ZSP1,10108968,NEORECOR 3000IU/0.3ML 1ASRG FR-CLIN,12/16/2014,H6216H07,12/17/2014,1/13/2015,1/13/2015,1/14/2015,1/14/2015,1/21/2015,1/21/2015,NEORECOR,7,1,27,1,0,7,0,36,TRUE
10112468H0548H20,3025310,ZSP1,10112468,MIRCERA 150MCG/.3ML 1 ASRG DK-NO-IS,12/16/2014,H0548H20,12/19/2014,1/12/2015,1/13/2015,1/13/2015,1/13/2015,1/15/2015,1/15/2015,MIRCERA,7,3,24,1,0,2,0,30,TRUE
10098951H0547H11,3025323,ZSP1,10098951,MIRCERA 250MCG/.3ML 1 ASRG DE,12/17/2014,H0547H11,1/8/2015,1/13/2015,1/13/2015,1/13/2015,1/13/2015,1/26/2015,1/26/2015,MIRCERA,7,22,5,0,0,13,0,40,TRUE
10075877H6246H05,3025326,ZSP1,10075877,BONVIVA 3MG/3ML 1ASRG BG,12/18/2014,H6246H05,12/18/2014,1/14/2015,1/15/2015,1/16/2015,1/16/2015,1/26/2015,1/26/2015,BONVIVA,7,0,27,2,0,10,0,39,TRUE
10079911H6247H11,3025331,ZSP1,10079911,BONVIVA 3MG/3ML 1ASRG AT,12/18/2014,H6247H11,12/18/2014,1/13/2015,1/13/2015,1/14/2015,1/14/2015,1/26/2015,1/26/2015,BONVIVA,7,0,26,1,0,12,0,39,TRUE
10120404H6247H09,3025347,ZSP1,10120404,BONVIVA 3MG/3ML 1ASRG RS,12/18/2014,H6247H09,12/18/2014,1/12/2015,1/13/2015,1/13/2015,1/13/2015,2/17/2015,2/18/2015,BONVIVA,7,0,25,1,0,35,1,62,TRUE
10095584H0517H04,3025448,ZSP1,10095584,MIRCERA 50MCG/.3ML 1 ASRG CZSKHUSI,1/8/2015,H0517H04,1/12/2015,1/13/2015,1/13/2015,1/14/2015,1/14/2015,1/26/2015,1/26/2015,MIRCERA,7,4,1,1,0,12,0,18,TRUE
10138546H0517H03,3025449,ZSP1,10138546,MIRCERA 50MCG/0.3ML 1ASRG AZ,1/8/2015,H0517H03,1/9/2015,1/13/2015,1/13/2015,1/14/2015,1/14/2015,1/26/2015,1/27/2015,MIRCERA,7,1,4,1,0,12,1,19,TRUE
10095665H0547H12,3025450,ZSP1,10095665,MIRCERA 250MCG/.3ML 1 ASRG CZSKHUSI,1/8/2015,H0547H12,1/9/2015,1/13/2015,1/13/2015,1/13/2015,1/13/2015,1/30/2015,2/2/2015,MIRCERA,7,1,4,0,0,17,3,25,TRUE
10095654H0547H25,3025460,ZSP1,10095654,MIRCERA 200MCG/.3ML 1 ASRG CZSKHUSI,1/8/2015,H0547H25,1/9/2015,1/13/2015,1/13/2015,1/14/2015,1/14/2015,1/30/2015,2/2/2015,MIRCERA,7,1,4,1,0,16,3,25,TRUE
10112465H0550H28,3025119,ZSP1,10112465,MIRCERA 75MCG/.3ML 1 ASRG DK-NO-IS,12/3/2014,H0550H28,1/9/2015,1/13/2015,1/14/2015,1/14/2015,1/14/2015,1/19/2015,1/19/2015,MIRCERA,7,37,4,1,0,5,0,47,TRUE
10121904H0550H32,3025140,ZSP1,10121904,MIRCERA 75MCG/.3ML 1 ASRG ZA,12/3/2014,H0550H32,1/13/2015,1/14/2015,1/14/2015,1/16/2015,1/16/2015,1/20/2015,1/20/2015,MIRCERA,7,41,1,2,0,4,0,48,TRUE
10159236H4522H01,3025237,ZSP1,10159236,HERCEPTI 150MG 1VILY IV ES,12/5/2014,H4522H01,12/23/2014,1/14/2015,1/15/2015,1/16/2015,1/16/2015,1/22/2015,1/23/2015,HERCEPTI,7,18,22,2,0,6,1,49,TRUE
10108968H6217H01,3025288,ZSP1,10108968,NEORECOR 3000IU/0.3ML 1ASRG FR-CLIN,12/16/2014,H6217H01,12/17/2014,1/13/2015,1/14/2015,1/14/2015,1/14/2015,1/21/2015,1/21/2015,NEORECOR,7,1,27,1,0,7,0,36,TRUE
10108969H6217H02,3025290,ZSP1,10108969,NEORECOR 3000IU/.3ML 1 ASRG IT-PU,12/16/2014,H6217H02,12/17/2014,1/14/2015,1/14/2015,1/14/2015,1/14/2015,1/19/2015,1/19/2015,NEORECOR,7,1,28,0,0,5,0,34,TRUE
10095599H0550H27,3025297,ZSP1,10095599,MIRCERA 75MCG/.3ML 1 ASRG ES-PT,12/17/2014,H0550H27,1/9/2015,1/14/2015,1/14/2015,1/15/2015,1/15/2015,1/27/2015,1/28/2015,MIRCERA,7,23,5,1,0,12,1,42,TRUE
10078688H0548H25,3025312,ZSP1,10078688,MIRCERA 150MCG/0.3ML 1ASRG CH,12/16/2014,H0548H25,1/9/2015,1/14/2015,1/14/2015,1/15/2015,1/15/2015,1/26/2015,1/27/2015,MIRCERA,7,24,5,1,0,11,1,42,TRUE
10095646H0548H24,3025315,ZSP1,10095646,MIRCERA 150MCG/.3ML 1 ASRG BE-NL,12/16/2014,H0548H24,1/9/2015,1/14/2015,1/14/2015,1/15/2015,1/15/2015,1/28/2015,1/28/2015,MIRCERA,7,24,5,1,0,13,0,43,TRUE
10095622H0550H30,3025452,ZSP1,10095622,MIRCERA 75MCG/.3ML 1 ASRG IT-PU,1/8/2015,H0550H30,1/12/2015,1/14/2015,1/14/2015,1/14/2015,1/14/2015,1/22/2015,1/23/2015,MIRCERA,7,4,2,0,0,8,1,15,TRUE
10138547H0550H29,3025465,ZSP1,10138547,MIRCERA 75MCG/0.3ML 1ASRG AZ,1/8/2015,H0550H29,1/9/2015,1/14/2015,1/14/2015,1/14/2015,1/14/2015,1/26/2015,1/27/2015,MIRCERA,7,1,5,0,0,12,1,19,TRUE
10095598H0550H31,3025466,ZSP1,10095598,MIRCERA 75MCG/.3ML 1 ASRG ELL,1/8/2015,H0550H31,1/13/2015,1/14/2015,1/14/2015,1/14/2015,1/14/2015,1/28/2015,1/28/2015,MIRCERA,7,5,1,0,0,14,0,20,TRUE
10130025H0548H27,3024904,ZSP1,10130025,MIRCERA 150MCG/0.3ML 1ASRG KR,11/18/2014,H0548H27,1/9/2015,1/15/2015,1/15/2015,1/16/2015,1/16/2015,1/28/2015,1/28/2015,MIRCERA,7,52,6,1,0,12,0,71,TRUE
10159257H4518H05,3024968,ZSP1,10159257,HERCEPTI 150MG 1VILY IV HR,12/1/2014,H4518H05,12/22/2014,1/15/2015,1/15/2015,1/16/2015,1/16/2015,1/21/2015,1/21/2015,HERCEPTI,7,21,24,1,0,5,0,51,TRUE
10110663H0566H14,3025289,ZSP1,10110663,RECORMON 3000IU/.3ML 6 ASRG FE,12/16/2014,H0566H14,1/2/2015,1/15/2015,1/15/2015,1/16/2015,1/16/2015,1/20/2015,1/21/2015,RECORMON,7,17,13,1,0,4,1,36,TRUE
10095629H0561H38,3025308,ZSP1,10095629,MIRCERA 100MCG/.3ML 1 ASRG FR,12/16/2014,H0561H38,1/14/2015,1/15/2015,1/15/2015,1/16/2015,1/16/2015,1/22/2015,1/23/2015,MIRCERA,7,29,1,1,0,6,1,38,TRUE
10107354H0550H01,3025313,ZSP1,10107354,MIRCERA 150MCG/.3ML 1 ASRG FE-36,12/16/2014,H0550H01,1/14/2015,1/15/2015,1/15/2015,1/16/2015,1/16/2015,2/9/2015,2/9/2015,MIRCERA,7,29,1,1,0,24,0,55,TRUE
10095647H0548H26,3025314,ZSP1,10095647,MIRCERA 150MCG/.3ML 1 ASRG ES-PT,12/16/2014,H0548H26,1/9/2015,1/14/2015,1/15/2015,1/15/2015,1/15/2015,1/28/2015,1/28/2015,MIRCERA,7,24,5,1,0,13,0,43,TRUE
10086767H6246H10,3025325,ZSP1,10086767,BONVIVA 3MG/3ML 1ASRG CIS,12/18/2014,H6246H10,1/14/2015,1/15/2015,1/16/2015,1/16/2015,1/16/2015,1/28/2015,1/28/2015,BONVIVA,7,27,1,1,0,12,0,41,TRUE
10140048H0676H02,3025327,ZSP1,10140048,NEORECOR 50000IU 1VILY ES,12/18/2014,H0676H02,1/8/2015,1/14/2015,1/20/2015,1/20/2015,1/20/2015,1/23/2015,1/26/2015,NEORECOR,7,21,6,6,0,3,3,39,TRUE
10153440H6245H08,3025330,ZSP1,10153440,BONVIVA 3MG/3ML 1ASRG LT,12/18/2014,H6245H08,12/18/2014,1/16/2015,1/16/2015,1/16/2015,1/16/2015,1/28/2015,1/28/2015,BONVIVA,7,0,29,0,0,12,0,41,TRUE
10159236H4518H04,3025399,ZSP1,10159236,HERCEPTI 150MG 1VILY IV ES,12/22/2014,H4518H04,12/23/2014,1/15/2015,1/15/2015,1/16/2015,1/16/2015,1/20/2015,1/20/2015,HERCEPTI,7,1,23,1,0,4,0,29,TRUE
10112466H0561H42,3025544,ZSP1,10112466,MIRCERA 100MCG/.3ML 1 ASRG DK-NO-IS,1/14/2015,H0561H42,1/14/2015,1/15/2015,1/15/2015,1/16/2015,1/16/2015,1/26/2015,1/26/2015,MIRCERA,7,0,1,1,0,10,0,12,TRUE
10159263H4525H02,3024947,ZSP1,10159263,HERCEPTI 150MG 1VILY IV TR,11/28/2014,H4525H02,1/12/2015,1/15/2015,1/16/2015,1/16/2015,1/16/2015,1/20/2015,1/20/2015,HERCEPTI,7,45,3,1,0,4,0,53,TRUE
10110640H0798H04,3025102,ZSP1,10110640,RECORMON 2000IU/.3ML 6 ASRG EFA,12/2/2014,H0798H04,1/7/2015,1/16/2015,1/16/2015,1/19/2015,1/19/2015,1/21/2015,1/21/2015,RECORMON,7,36,9,3,0,2,0,50,TRUE
10110637H0801H01,3025251,ZSP1,10110637,RECORMON 2000IU/.3ML 6 ASRG FE,12/9/2014,H0801H01,12/23/2014,1/16/2015,1/19/2015,1/19/2015,1/19/2015,1/20/2015,1/21/2015,RECORMON,7,14,24,3,0,1,1,43,TRUE
10159263H4509H01,3025459,ZSP1,10159263,HERCEPTI 150MG 1VILY IV TR,1/8/2015,H4509H01,1/12/2015,1/16/2015,1/19/2015,1/19/2015,1/19/2015,1/21/2015,1/21/2015,HERCEPTI,7,4,4,3,0,2,0,13,TRUE
10095657H0547H27,3025514,ZSP1,10095657,MIRCERA 200MCG/.3ML 1 ASRG ES-PT,1/14/2015,H0547H27,1/15/2015,1/16/2015,1/16/2015,1/16/2015,1/16/2015,1/28/2015,2/5/2015,MIRCERA,7,1,1,0,0,12,8,22,TRUE
10125528H0550H33,3025519,ZSP1,10125528,MIRCERA 75MCG/0.3ML 1ASRG UA,1/14/2015,H0550H33,1/15/2015,1/16/2015,1/16/2015,1/19/2015,1/19/2015,1/20/2015,1/20/2015,MIRCERA,7,1,1,3,0,1,0,6,TRUE
10076425H0547H26,3025543,ZSP1,10076425,MIRCERA 200MCG/0.3ML 1ASRG AU-NZ,1/14/2015,H0547H26,1/14/2015,1/15/2015,1/16/2015,1/16/2015,1/16/2015,1/27/2015,1/27/2015,MIRCERA,7,0,1,1,0,11,0,13,TRUE
10112501H0517H06,3025551,ZSP1,10112501,MIRCERA 50MCG/.3ML 1 ASRG SE-FI,1/14/2015,H0517H06,1/14/2015,1/16/2015,1/16/2015,1/19/2015,1/19/2015,1/26/2015,1/26/2015,MIRCERA,7,0,2,3,0,7,0,12,TRUE
10095600H0550H34,3025554,ZSP1,10095600,MIRCERA 75MCG/.3ML 1 ASRG FR,1/14/2015,H0550H34,1/15/2015,1/16/2015,1/16/2015,1/19/2015,1/19/2015,1/26/2015,1/26/2015,MIRCERA,7,1,1,3,0,7,0,12,TRUE
10145647H6246H12,3025638,ZSP1,10145647,BONVIVA 3MG/3ML 1ASRG CO,1/16/2015,H6246H12,1/22/2015,1/26/2015,1/26/2015,1/26/2015,1/26/2015,1/30/2015,2/2/2015,BONVIVA,7,6,4,0,0,4,3,17,TRUE
10121908H0547H13,3025545,ZSP1,10121908,MIRCERA 250MCG/.3ML 1 ASRG ZA,1/14/2015,H0547H13,1/16/2015,1/17/2015,1/17/2015,1/19/2015,1/19/2015,1/27/2015,1/27/2015,MIRCERA,7,2,1,2,0,8,0,13,TRUE
10095588H0517H08,3025558,ZSP1,10095588,MIRCERA 50MCG/.3ML 1 ASRG ES-PT,1/14/2015,H0517H08,1/15/2015,1/17/2015,1/17/2015,1/19/2015,1/19/2015,1/28/2015,1/28/2015,MIRCERA,7,1,2,2,0,9,0,14,TRUE
