process_order_number,order_type,material_number,product_name,process_order_creation_date,batch_number,process_order_release_date,packaging_line_start_date,packaging_line_finish_date,packaging_final_check_date,brr_start_date,brr_end_date,qa_release_date,IN_order_type,IN_created_from,IN_created_to
000003083903,ZSP1,000000000010086767,BONVIVA 3MG/3ML 1ASRG CIS,12/21/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003082802,ZSP1,000000000010086767,BONVIVA 3MG/3ML 1ASRG CIS,11/28/2016,,12/12/2016,,,1/10/17 9:10,1/13/17 13:27,1/13/17 15:54,,ZSP1,1/1/2016,12/31/2016
000003083896,ZSP1,000000000010087788,MIRCERA 30MCG/0.3ML 1ASRG CH,12/21/2016,,,,,2/8/17 13:05,2/13/17 10:26,2/14/17 16:51,,ZSP1,1/1/2016,12/31/2016
000003083904,ZSP1,000000000010087810,MIRCERA 120MCG/0.3ML 1ASRG CH,12/21/2016,,,,,1/26/17 13:26,1/30/17 8:27,2/1/17 14:40,,ZSP1,1/1/2016,12/31/2016
000003082810,ZSP1,000000000010088000,BONVIVA 3MG/3ML 1ASRG TR,11/28/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003081448,ZSP1,000000000010091268,MIRCERA 150MCG/0.3ML 1ASRG MX,11/25/2016,,12/27/2016,,,1/12/17 10:30,1/13/17 15:00,1/17/17 12:43,,ZSP1,1/1/2016,12/31/2016
000003083895,ZSP1,000000000010091270,MIRCERA 200MCG/0.3ML 1ASRG MX,12/21/2016,,,,,1/23/17 13:05,1/23/17 14:52,1/26/17 10:06,,ZSP1,1/1/2016,12/31/2016
000003083897,ZSP1,000000000010091272,MIRCERA 250MCG/0.3ML 1ASRG MX,12/21/2016,,,,,2/7/17 13:33,2/8/17 15:57,2/14/17 15:56,,ZSP1,1/1/2016,12/31/2016
000003083905,ZSP1,000000000010093685,MIRCERA 75MCG/.3ML 1 ASRG KZ,12/21/2016,,,,,1/20/17 10:38,1/23/17 14:23,1/25/17 12:50,,ZSP1,1/1/2016,12/31/2016
000003083898,ZSP1,000000000010093686,MIRCERA 50MCG/.3ML 1 ASRG KZ,12/21/2016,,,,,2/6/17 8:41,2/6/17 14:34,2/8/17 17:11,,ZSP1,1/1/2016,12/31/2016
000003081434,ZSP1,000000000010095578,MIRCERA 360MCG/0.6ML 1ASRG FR,11/25/2016,,12/28/2016,,,1/13/17 14:37,1/24/17 9:10,1/30/17 15:28,,ZSP1,1/1/2016,12/31/2016
000003083899,ZSP1,000000000010095580,MIRCERA 360MCG/.6ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,1/20/17 10:35,1/30/17 11:51,1/30/17 14:40,,ZSP1,1/1/2016,12/31/2016
000003083906,ZSP1,000000000010095581,MIRCERA 360MCG/0.6ML 1ASRG IT-PU,12/21/2016,,,,,1/26/17 12:52,1/30/17 13:26,1/30/17 14:49,,ZSP1,1/1/2016,12/31/2016
000003075351,ZSP1,000000000010095581,MIRCERA 360MCG/0.6ML 1ASRG IT-PU,5/30/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003081450,ZSP1,000000000010095584,MIRCERA 50MCG/.3ML 1 ASRG CZSKHUSI,11/25/2016,,1/3/2017,,,1/11/17 10:29,1/12/17 9:28,1/12/17 13:34,,ZSP1,1/1/2016,12/31/2016
000003083920,ZSP1,000000000010095585,MIRCERA 50MCG/.3ML 1 ASRG BE-NL,12/21/2016,,,,,1/18/17 6:11,1/18/17 13:15,1/20/17 13:35,,ZSP1,1/1/2016,12/31/2016
000003083907,ZSP1,000000000010095587,MIRCERA 50MCG/.3ML 1 ASRG ELL,12/21/2016,,,,,2/7/17 13:50,2/8/17 11:16,2/14/17 11:12,,ZSP1,1/1/2016,12/31/2016
000003083922,ZSP1,000000000010095588,MIRCERA 50MCG/.3ML 1 ASRG ES-PT,12/21/2016,,,,,1/25/17 11:02,1/25/17 16:24,1/27/17 13:04,,ZSP1,1/1/2016,12/31/2016
000003083921,ZSP1,000000000010095589,MIRCERA 50MCG/.3ML 1 ASRG FR,12/21/2016,,,,,1/25/17 11:15,1/26/17 14:15,1/30/17 12:55,,ZSP1,1/1/2016,12/31/2016
000003083923,ZSP1,000000000010095591,MIRCERA 50MCG/.3ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,1/25/17 11:26,1/25/17 16:16,1/27/17 10:42,,ZSP1,1/1/2016,12/31/2016
000003067018,ZSP1,000000000010095591,MIRCERA 50MCG/.3ML 1 ASRG GB-IE-GRCY,3/2/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083926,ZSP1,000000000010095592,MIRCERA 50MCG/.3ML 1 ASRG IT-PU,12/21/2016,,,,,3/23/17 15:07,3/24/17 10:50,3/28/17 15:46,,ZSP1,1/1/2016,12/31/2016
000003081467,ZSP1,000000000010095593,MIRCERA 50MCG/.3ML 1 ASRG RO-BG-PL,11/25/2016,,1/3/2017,,,1/11/17 10:20,1/12/17 9:33,1/13/17 7:34,,ZSP1,1/1/2016,12/31/2016
000003083925,ZSP1,000000000010095595,MIRCERA 75MCG/.3ML 1 ASRG CZSKHUSI,12/21/2016,,,,,2/6/17 8:41,2/6/17 10:15,2/13/17 12:11,,ZSP1,1/1/2016,12/31/2016
000003083924,ZSP1,000000000010095596,MIRCERA 75MCG/.3ML 1 ASRG BE-NL,12/21/2016,,,,,2/3/17 9:53,2/6/17 9:55,2/8/17 16:31,,ZSP1,1/1/2016,12/31/2016
000003083927,ZSP1,000000000010095598,MIRCERA 75MCG/.3ML 1 ASRG ELL,12/21/2016,,,,,2/6/17 8:48,2/6/17 10:27,2/8/17 16:40,,ZSP1,1/1/2016,12/31/2016
000003076928,ZSP1,000000000010095598,MIRCERA 75MCG/.3ML 1 ASRG ELL,6/27/2016,,6/30/2016,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083928,ZSP1,000000000010095600,MIRCERA 75MCG/.3ML 1 ASRG FR,12/21/2016,,,,,1/20/17 10:45,1/23/17 10:37,1/25/17 12:41,,ZSP1,1/1/2016,12/31/2016
000003083908,ZSP1,000000000010095602,MIRCERA 75MCG/.3ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,2/6/17 8:44,2/6/17 11:21,2/13/17 12:01,,ZSP1,1/1/2016,12/31/2016
000003081453,ZSP1,000000000010095602,MIRCERA 75MCG/.3ML 1 ASRG GB-IE-GRCY,11/25/2016,,12/19/2016,,,1/10/17 9:09,1/10/17 13:19,1/11/17 15:41,,ZSP1,1/1/2016,12/31/2016
000003083929,ZSP1,000000000010095626,MIRCERA 100MCG/.3ML 1 ASRG BE-NL,12/21/2016,,,,,2/3/17 10:35,2/6/17 10:16,2/7/17 12:56,,ZSP1,1/1/2016,12/31/2016
000003083909,ZSP1,000000000010095627,MIRCERA 100MCG/.3ML 1 ASRG ELL,12/21/2016,,,,,1/18/17 14:14,1/19/17 7:16,1/23/17 13:40,,ZSP1,1/1/2016,12/31/2016
000003067382,ZSP1,000000000010095627,MIRCERA 100MCG/.3ML 1 ASRG ELL,3/3/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003081436,ZSP1,000000000010095629,MIRCERA 100MCG/.3ML 1 ASRG FR,11/25/2016,,12/29/2016,,,1/16/17 10:23,1/17/17 12:42,1/18/17 13:19,,ZSP1,1/1/2016,12/31/2016
000003083910,ZSP1,000000000010095631,MIRCERA 100MCG/.3ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,2/3/17 10:43,2/6/17 9:39,2/7/17 13:03,,ZSP1,1/1/2016,12/31/2016
000003083930,ZSP1,000000000010095632,MIRCERA 100MCG/.3ML 1 ASRG IT-PU,12/21/2016,,,,,1/26/17 11:26,1/30/17 8:28,2/1/17 10:16,,ZSP1,1/1/2016,12/31/2016
000003081437,ZSP1,000000000010095633,MIRCERA 100MCG/.3ML 1 ASRG RO-BG-PL,11/25/2016,,12/27/2016,,,1/10/17 8:57,1/10/17 11:21,1/16/17 14:35,,ZSP1,1/1/2016,12/31/2016
000003083912,ZSP1,000000000010095635,MIRCERA 120MCG/0.3ML 1ASRG CZSKHUSI,12/21/2016,,,,,1/26/17 13:03,1/30/17 8:36,1/31/17 9:13,,ZSP1,1/1/2016,12/31/2016
000003083931,ZSP1,000000000010095638,MIRCERA 120MCG/.3ML 1 ASRG ES-PT,12/21/2016,,,,,1/25/17 11:04,1/25/17 16:31,1/27/17 12:57,,ZSP1,1/1/2016,12/31/2016
000003081438,ZSP1,000000000010095638,MIRCERA 120MCG/.3ML 1 ASRG ES-PT,11/25/2016,,12/28/2016,,,1/13/17 14:42,1/16/17 11:28,1/17/17 17:15,,ZSP1,1/1/2016,12/31/2016
000003074567,ZSP1,000000000010095638,MIRCERA 120MCG/.3ML 1 ASRG ES-PT,5/9/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083932,ZSP1,000000000010095639,MIRCERA 120MCG/.3ML 1 ASRG FR,12/21/2016,,,,,1/26/17 13:08,1/30/17 12:54,1/31/17 8:54,,ZSP1,1/1/2016,12/31/2016
000003083911,ZSP1,000000000010095641,MIRCERA 120MCG/.3ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,1/25/17 11:00,1/25/17 16:35,2/1/17 8:49,,ZSP1,1/1/2016,12/31/2016
000003083934,ZSP1,000000000010095647,MIRCERA 150MCG/.3ML 1 ASRG ES-PT,12/21/2016,,,,,1/20/17 10:36,1/23/17 8:52,1/25/17 12:55,,ZSP1,1/1/2016,12/31/2016
000003083933,ZSP1,000000000010095650,MIRCERA 150MCG/.3ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,1/20/17 10:36,1/23/17 9:00,1/25/17 7:49,,ZSP1,1/1/2016,12/31/2016
000003081456,ZSP1,000000000010095650,MIRCERA 150MCG/.3ML 1 ASRG GB-IE-GRCY,11/25/2016,,12/27/2016,,,1/12/17 10:31,1/13/17 14:50,1/19/17 10:19,,ZSP1,1/1/2016,12/31/2016
000003075402,ZSP1,000000000010095651,MIRCERA 150MCG/.3ML 1 ASRG IT-PU,5/30/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003081457,ZSP1,000000000010095655,MIRCERA 200MCG/.3ML 1 ASRG BE-NL,11/25/2016,,12/30/2016,,,1/13/17 14:53,1/16/17 11:43,1/17/17 16:57,,ZSP1,1/1/2016,12/31/2016
000003083935,ZSP1,000000000010095657,MIRCERA 200MCG/.3ML 1 ASRG ES-PT,12/21/2016,,,,,1/23/17 13:06,1/23/17 14:45,1/27/17 11:01,,ZSP1,1/1/2016,12/31/2016
000003081463,ZSP1,000000000010095658,MIRCERA 200MCG/.3ML 1 ASRG FR,11/25/2016,,12/27/2016,,,1/13/17 14:43,1/17/17 10:43,1/17/17 16:50,,ZSP1,1/1/2016,12/31/2016
000003083936,ZSP1,000000000010095660,MIRCERA 200MCG/.3ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,1/24/17 12:49,1/25/17 9:48,1/26/17 9:36,,ZSP1,1/1/2016,12/31/2016
000003075390,ZSP1,000000000010095666,MIRCERA 250MCG/.3ML 1 ASRG BE-NL,5/30/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003067384,ZSP1,000000000010095668,MIRCERA 250MCG/.3ML 1 ASRG FR,3/3/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083913,ZSP1,000000000010095670,MIRCERA 250MCG/.3ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,2/7/17 13:33,2/8/17 16:06,2/14/17 15:53,,ZSP1,1/1/2016,12/31/2016
000003081459,ZSP1,000000000010095674,MIRCERA 30MCG/.3ML 1 ASRG CZSKHUSI,11/25/2016,,1/3/2017,,,1/12/17 10:23,1/13/17 14:09,1/17/17 9:12,,ZSP1,1/1/2016,12/31/2016
000003083914,ZSP1,000000000010095675,MIRCERA 30MCG/.3ML 1 ASRG BE-NL,12/21/2016,,,,,1/19/17 9:21,1/20/17 13:13,1/25/17 8:24,,ZSP1,1/1/2016,12/31/2016
000003083915,ZSP1,000000000010095676,MIRCERA 30MCG/.3ML 1 ASRG ELL,12/21/2016,,,,,2/8/17 13:06,2/10/17 12:16,2/15/17 8:54,,ZSP1,1/1/2016,12/31/2016
000003081466,ZSP1,000000000010095676,MIRCERA 30MCG/.3ML 1 ASRG ELL,11/25/2016,,1/3/2017,,,1/12/17 15:41,1/16/17 13:52,1/17/17 9:04,,ZSP1,1/1/2016,12/31/2016
000003081480,ZSP1,000000000010095678,MIRCERA 30MCG/.3ML 1 ASRG FR,11/25/2016,,1/3/2017,,,1/13/17 14:55,1/17/17 7:00,1/17/17 12:27,,ZSP1,1/1/2016,12/31/2016
000003083917,ZSP1,000000000010095680,MIRCERA 30MCG/.3ML 1 ASRG GB-IE-GRCY,12/21/2016,,,,,2/8/17 13:06,2/10/17 10:52,2/15/17 8:48,,ZSP1,1/1/2016,12/31/2016
000003059511,ZSP1,000000000010095681,MIRCERA 30MCG/.3ML 1 ASRG IT-PU,2/15/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003071807,ZSP1,000000000010095682,MIRCERA 30MCG/.3ML 1 ASRG RO-BG-PL,3/11/2016,,4/29/2016,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083916,ZSP1,000000000010097663,BONVIVA 3MG/3ML 1 ASRG PK,12/21/2016,,1/4/2017,,,1/13/17 14:34,1/18/17 12:02,1/19/17 10:45,,ZSP1,1/1/2016,12/31/2016
000003081465,ZSP1,000000000010098943,MIRCERA 120MCG/0.3ML 1ASRG DE,11/25/2016,,12/28/2016,,,1/13/17 14:44,1/17/17 12:24,1/18/17 9:58,,ZSP1,1/1/2016,12/31/2016
000003081484,ZSP1,000000000010098951,MIRCERA 250MCG/.3ML 1 ASRG DE,11/25/2016,,1/3/2017,,,1/16/17 10:17,1/17/17 10:49,1/19/17 10:40,,ZSP1,1/1/2016,12/31/2016
000003078320,ZSP1,000000000010098952,MIRCERA 30MCG/0.3ML 1ASRG DE,8/12/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083918,ZSP1,000000000010107349,MIRCERA 30MCG/.3ML 1 ASRG FE-36,12/21/2016,,,,,1/19/17 9:21,1/20/17 9:18,1/23/17 14:39,,ZSP1,1/1/2016,12/31/2016
000003077850,ZSP1,000000000010107349,MIRCERA 30MCG/.3ML 1 ASRG FE-36,7/27/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083939,ZSP1,000000000010107350,MIRCERA 50MCG/.3ML 1 ASRG FE-36,12/21/2016,,,,,1/25/17 11:19,1/25/17 16:54,1/26/17 14:33,,ZSP1,1/1/2016,12/31/2016
000003081468,ZSP1,000000000010107350,MIRCERA 50MCG/.3ML 1 ASRG FE-36,11/25/2016,,1/3/2017,,,1/12/17 10:23,1/12/17 13:21,1/13/17 13:53,,ZSP1,1/1/2016,12/31/2016
000003083938,ZSP1,000000000010107351,MIRCERA 75MCG/.3ML 1 ASRG FE-36,12/21/2016,,,,,1/20/17 10:39,1/20/17 15:22,1/25/17 9:19,,ZSP1,1/1/2016,12/31/2016
000003083919,ZSP1,000000000010107352,MIRCERA 100MCG/.3ML 1 ASRG FE-36,12/21/2016,,,,,1/19/17 9:23,1/20/17 9:32,1/23/17 14:10,,ZSP1,1/1/2016,12/31/2016
000003081483,ZSP1,000000000010107352,MIRCERA 100MCG/.3ML 1 ASRG FE-36,11/25/2016,,12/21/2016,,,1/10/17 8:57,1/10/17 11:13,1/18/17 13:41,,ZSP1,1/1/2016,12/31/2016
000003083940,ZSP1,000000000010107353,MIRCERA 120MCG/.3ML 1 ASRG FE-36,12/21/2016,,,,,1/26/17 13:25,1/31/17 8:48,2/1/17 9:22,,ZSP1,1/1/2016,12/31/2016
000003083937,ZSP1,000000000010107354,MIRCERA 150MCG/.3ML 1 ASRG FE-36,12/21/2016,,,,,1/17/17 13:07,1/18/17 8:46,1/19/17 10:12,,ZSP1,1/1/2016,12/31/2016
000003083949,ZSP1,000000000010107355,MIRCERA 200MCG/.3ML 1 ASRG FE-36,12/21/2016,,,,,2/7/17 13:32,2/8/17 15:35,2/14/17 15:18,,ZSP1,1/1/2016,12/31/2016
000003081487,ZSP1,000000000010107355,MIRCERA 200MCG/.3ML 1 ASRG FE-36,11/25/2016,,12/27/2016,,,1/13/17 14:54,1/16/17 16:03,1/17/17 16:31,,ZSP1,1/1/2016,12/31/2016
000003081474,ZSP1,000000000010107671,MIRCERA 50MCG/.3ML 1 ASRG EFA-36,11/25/2016,,1/5/2017,,,1/12/17 10:28,1/13/17 9:45,1/17/17 9:44,,ZSP1,1/1/2016,12/31/2016
000003052627,ZSP1,000000000010107675,MIRCERA 75MCG/.3ML 1 ASRG EFA-36,1/28/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003081488,ZSP1,000000000010107677,MIRCERA 100MCG/.3ML 1 ASRG EFA-36,11/25/2016,,,,,3/13/17 13:43,3/15/17 8:16,3/16/17 10:53,,ZSP1,1/1/2016,12/31/2016
000003083960,ZSP1,000000000010107679,RECORMON 2000IU/0.3ML 6ASRG KZ,12/21/2016,,,,,2/1/17 14:03,2/3/17 10:33,2/8/17 12:54,,ZSP1,1/1/2016,12/31/2016
000003083941,ZSP1,000000000010107681,MIRCERA 200MCG/.3ML 1 ASRG EFA-36,12/21/2016,,,,,2/7/17 13:34,2/10/17 10:43,2/14/17 15:27,,ZSP1,1/1/2016,12/31/2016
000003061570,ZSP1,000000000010107681,MIRCERA 200MCG/.3ML 1 ASRG EFA-36,2/26/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003075280,ZSP1,000000000010108931,NEORECOR 50000IU 1 VILY CZ-SK,5/30/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003083826,ZSP1,000000000010108938,NEORECOR 10000IU/.6ML 1 ASRG IT-PU,12/20/2016,,12/20/2016,,,1/12/17 10:28,1/13/17 8:49,1/19/17 10:25,,ZSP1,1/1/2016,12/31/2016
000003081489,ZSP1,000000000010108938,NEORECOR 10000IU/.6ML 1 ASRG IT-PU,11/25/2016,,12/20/2016,,,1/12/17 10:24,1/13/17 8:58,1/24/17 12:17,,ZSP1,1/1/2016,12/31/2016
000003076032,ZSP1,000000000010108938,NEORECOR 10000IU/.6ML 1 ASRG IT-PU,6/6/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003081490,ZSP1,000000000010108940,NEORECOR 10000IU/.6ML 6 ASRG DEATBENL,11/25/2016,,12/23/2016,,,1/10/17 9:02,1/11/17 10:05,1/12/17 11:26,,ZSP1,1/1/2016,12/31/2016
000003081473,ZSP1,000000000010108942,NEORECOR 10000IU/.6ML 6 ASRG ES-PT,11/25/2016,,12/23/2016,,,1/10/17 9:01,1/10/17 13:04,1/12/17 11:44,,ZSP1,1/1/2016,12/31/2016
000003083961,ZSP1,000000000010108943,NEORECOR 10000IU/.6ML 6 ASRG FR,12/21/2016,,,,,2/20/17 13:59,2/21/17 8:44,2/21/17 16:34,,ZSP1,1/1/2016,12/31/2016
000003083962,ZSP1,000000000010108945,NEORECOR 10000IU/.6ML 6 ASRG NO,12/21/2016,,,,,1/31/17 9:38,2/1/17 13:09,2/6/17 11:41,,ZSP1,1/1/2016,12/31/2016
000003084139,ZSP1,000000000010108947,NEORECOR 10000IU/.6ML 6 ASRG SC,12/23/2016,,,,,2/20/17 14:00,2/21/17 9:16,2/21/17 16:40,,ZSP1,1/1/2016,12/31/2016
000003081475,ZSP1,000000000010108947,NEORECOR 10000IU/.6ML 6 ASRG SC,11/25/2016,,12/20/2016,,,1/10/17 9:13,1/10/17 13:18,1/13/17 10:01,,ZSP1,1/1/2016,12/31/2016
000003061571,ZSP1,000000000010108947,NEORECOR 10000IU/.6ML 6 ASRG SC,2/26/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003061591,ZSP1,000000000010108948,NEORECOR 2000IU/0.3ML 1ASRG FR-CLIN,2/26/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003061573,ZSP1,000000000010108950,NEORECOR 2000IU/.3ML 6 ASRG CZSKHUSI,2/26/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003061606,ZSP1,000000000010108957,NEORECOR 2000IU/.3ML 6 ASRG RO-BG-PL,2/26/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003052723,ZSP1,000000000010108958,NEORECOR 2000IU/.3ML 6 ASRG SC,1/28/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003081491,ZSP1,000000000010108960,NEORECOR 20000IU/.6ML 1 ASRG FR-CLIN,11/25/2016,,12/20/2016,,,1/11/17 10:31,1/13/17 8:35,1/16/17 9:13,,ZSP1,1/1/2016,12/31/2016
000003083963,ZSP1,000000000010108968,NEORECOR 3000IU/0.3ML 1ASRG FR-CLIN,12/21/2016,,,,,1/20/17 10:39,1/23/17 11:36,1/25/17 14:08,,ZSP1,1/1/2016,12/31/2016
000003083942,ZSP1,000000000010108970,NEORECOR 3000IU/.3ML 6 ASRG CZSKHUSI,12/21/2016,,,,,1/18/17 14:12,1/20/17 8:56,1/23/17 9:33,,ZSP1,1/1/2016,12/31/2016
000003061603,ZSP1,000000000010108970,NEORECOR 3000IU/.3ML 6 ASRG CZSKHUSI,2/26/2016,,,,,,,,,ZSP1,1/1/2016,12/31/2016
000003081492,ZSP1,000000000010108980,NEORECOR 30000IU/.6ML 1 ASRG IT-PU,11/25/2016,,12/22/2016,,,1/13/17 15:28,1/19/17 11:30,1/26/17 13:44,,ZSP1,1/1/2016,12/31/2016
000003083964,ZSP1,000000000010108983,NEORECOR 30000IU/.6ML 4 ASRG DEATBENL,12/21/2016,,,,,2/1/17 13:59,2/2/17 16:00,2/6/17 11:33,,ZSP1,1/1/2016,12/31/2016
