,process_order_number,order_type_packaging_or_repackaging_field,material_number,product,product_name,process_order_creation_date,batch_number,process_order_release_date,packaging_line_start,packaging_line_finish,packaging_final_check_date,brr_start_date,brr_end_date,qa_release_date,po_create_to_po_release,po_release_to_pkg_start,pkg_start_to_pkg_finish,pkg_finish_to_pkg_final_check,pkg_final_check_to_brr_begin,brr_begin_to_brr_finish,brr_finish_to_qp_release
11,3050184,ZSP1,10159035,AVASTIN,AVASTIN 100MG/4ML 1VIAL ES,2016-01-05 00:00:00,B8006H30,2016-01-28 00:00:00,2016-02-01 00:00:00,2016-02-01 00:00:00,2016-02-02 16:32:00,2016-02-17 14:31:00,2016-02-18 11:22:00,2016-02-18 00:00:00,23.0,4.0,0.0,1.6888888888888889,14.915972222222223,0.86875,-0.4736111111111111
12,3050185,ZSP1,10159030,AVASTIN,AVASTIN 100MG/4ML 1VIAL CZ,2016-01-05 00:00:00,B8006H32,2016-01-29 00:00:00,2016-02-01 00:00:00,2016-02-02 00:00:00,2016-02-02 14:56:00,2016-02-18 07:42:00,2016-02-25 14:07:00,2016-02-25 00:00:00,24.0,3.0,1.0,0.6222222222222222,15.698611111111111,7.267361111111111,-0.5881944444444445
13,3050206,ZSP1,10108937,NEORECORMON,NEORECOR 10000IU/0.6ML 1ASRG FR-CLIN,2016-01-05 00:00:00,H6208H13,2016-01-05 00:00:00,2016-01-07 00:00:00,2016-01-07 00:00:00,2016-01-08 11:16:00,2016-01-12 07:55:00,2016-01-15 12:42:00,2016-01-18 00:00:00,0.0,2.0,0.0,1.4694444444444446,3.8604166666666666,3.1993055555555556,2.470833333333333
19,3051715,ZSP1,10159034,AVASTIN,AVASTIN 100MG/4ML 1VIAL ELL,2016-01-11 00:00:00,B8006H29,2016-01-27 00:00:00,2016-02-01 00:00:00,2016-02-01 00:00:00,2016-02-02 16:28:00,2016-02-17 13:44:00,2016-02-18 11:56:00,2016-02-18 00:00:00,16.0,5.0,0.0,1.6861111111111111,14.886111111111111,0.925,-0.49722222222222223
20,3051862,ZSP1,10111641,BONDRONAT,BONDRONA 2MG/2ML 1VIAL FE,2016-01-11 00:00:00,H0512H06,2016-02-09 00:00:00,2016-02-11 00:00:00,2016-02-11 00:00:00,2016-02-11 15:01:00,2016-02-12 09:03:00,2016-02-17 12:01:00,2016-02-17 00:00:00,29.0,2.0,0.0,0.6256944444444444,0.7513888888888889,5.123611111111111,-0.5006944444444444
29,3051952,ZSP1,10159046,AVASTIN,AVASTIN 100MG/4ML 1VIAL IT-CLIN,2016-01-12 00:00:00,B8008H01,2016-02-04 00:00:00,2016-02-10 00:00:00,2016-02-11 00:00:00,2016-02-11 15:12:00,2016-02-24 07:01:00,2016-02-24 12:05:00,2016-02-24 00:00:00,23.0,6.0,1.0,0.6333333333333333,12.659027777777778,0.2111111111111111,-0.5034722222222222
32,3051975,ZSP1,10071604,BONVIVA,BONVIVA 3MG/3ML 1ASRG FE,2016-01-12 00:00:00,H6265H05,2016-01-22 00:00:00,2016-01-28 00:00:00,2016-01-28 00:00:00,2016-01-29 12:38:00,2016-02-29 09:13:00,2016-03-01 11:02:00,2016-03-03 00:00:00,10.0,6.0,0.0,1.5263888888888888,30.85763888888889,1.0756944444444445,1.5402777777777779
33,3052023,ZSP1,10108938,NEORECORMON,NEORECOR 10000IU/.6ML 1 ASRG IT-PU,2016-01-13 00:00:00,H6208H14,2016-01-13 00:00:00,2016-01-27 00:00:00,2016-01-27 00:00:00,2016-01-28 13:27:00,2016-01-29 10:43:00,2016-01-29 14:44:00,2016-02-01 00:00:00,0.0,14.0,0.0,1.5604166666666666,0.8861111111111111,0.1673611111111111,2.386111111111111
34,3052033,ZSP1,10122503,NEORECORMON,NEORECOR 5000IU/0.3ML 1ASRG IN,2016-01-13 00:00:00,H0647H10,2016-01-13 00:00:00,2016-01-29 00:00:00,2016-01-29 00:00:00,2016-01-29 12:29:00,2016-02-03 13:55:00,2016-02-03 15:54:00,2016-02-03 00:00:00,0.0,16.0,0.0,0.5201388888888889,5.059722222222222,0.08263888888888889,-0.6625
48,3052261,ZSP1,10159040,AVASTIN,AVASTIN 100MG/4ML 1VIAL GB-IE,2016-01-19 00:00:00,B8006H25,2016-01-19 00:00:00,2016-01-25 00:00:00,2016-01-25 00:00:00,2016-01-26 17:12:00,2016-02-02 11:07:00,2016-02-03 13:11:00,2016-02-03 00:00:00,0.0,6.0,0.0,1.7166666666666666,6.746527777777778,1.086111111111111,-0.5493055555555556
49,3052286,ZSP1,10071609,BONVIVA,BONVIVA 3MG/3ML 1ASRG HU-SI,2016-01-20 00:00:00,H6277H08,2016-01-27 00:00:00,2016-01-29 00:00:00,2016-01-29 00:00:00,2016-01-29 12:26:00,2016-02-05 10:31:00,2016-02-05 14:13:00,2016-02-09 00:00:00,7.0,2.0,0.0,0.5180555555555556,6.920138888888889,0.15416666666666667,3.407638888888889
51,3052333,ZSP1,10159520,AVASTIN,AVASTIN 400MG/16ML 1VIAL ES,2016-01-22 00:00:00,B7217H03,2016-01-26 00:00:00,2016-01-28 00:00:00,2016-01-28 00:00:00,2016-01-29 12:36:00,2016-02-12 13:50:00,2016-02-16 11:19:00,2016-02-16 00:00:00,4.0,2.0,0.0,1.525,14.051388888888889,3.895138888888889,-0.47152777777777777
53,3052344,ZSP1,10110655,NEORECORMON,RECORMON 2000IU/0.3ML 6ASRG VN,2016-01-22 00:00:00,H0839H08,2016-02-05 00:00:00,2016-02-08 00:00:00,2016-02-08 00:00:00,2016-02-09 11:53:00,2016-02-16 09:41:00,2016-02-17 12:59:00,2016-02-17 00:00:00,14.0,3.0,0.0,1.4951388888888888,6.908333333333333,1.1375,-0.5409722222222222
54,3052447,ZSP1,10169189,PERJETA,PERJETA 420MG/14ML 1VIAL AT,2016-01-26 00:00:00,H0141H08,2016-01-26 00:00:00,2016-02-03 00:00:00,2016-02-03 00:00:00,2016-02-03 16:56:00,2016-02-11 14:36:00,2016-02-15 15:29:00,2016-02-16 00:00:00,0.0,8.0,0.0,0.7055555555555556,7.902777777777778,4.0368055555555555,0.3548611111111111
55,3052459,ZSP1,10153440,BONVIVA,BONVIVA 3MG/3ML 1ASRG LT,2016-01-27 00:00:00,H6271H03,2016-02-22 00:00:00,2016-03-07 00:00:00,2016-03-07 00:00:00,2016-03-07 12:30:00,2016-03-16 12:11:00,2016-03-18 12:55:00,2016-03-22 00:00:00,26.0,14.0,0.0,0.5208333333333334,8.986805555555556,2.0305555555555554,3.4618055555555554
57,3052475,ZSP1,10129627,BONVIVA,BONVIVA 3MG/3ML 1ASRG KR,2016-01-27 00:00:00,H6275H08,2016-02-15 00:00:00,2016-02-19 00:00:00,2016-02-25 00:00:00,2016-02-26 10:52:00,2016-03-08 12:03:00,2016-03-16 09:50:00,2016-03-21 00:00:00,19.0,4.0,6.0,1.4527777777777777,11.049305555555556,7.907638888888889,4.590277777777778
58,3052476,ZSP1,10071577,BONVIVA,BONVIVA 3MG/3ML 1ASRG CZ-SK,2016-01-27 00:00:00,H6271H05,2016-02-25 00:00:00,2016-03-08 00:00:00,2016-03-08 00:00:00,2016-03-08 14:38:00,2016-03-21 09:00:00,2016-03-21 11:21:00,2016-03-22 00:00:00,29.0,12.0,0.0,0.6097222222222223,12.765277777777778,0.09791666666666667,0.5270833333333333
59,3052477,ZSP1,10074424,BONVIVA,BONVIVA 3MG/3ML 1ASRG IT-CLIN,2016-01-27 00:00:00,H6271H04,2016-02-22 00:00:00,2016-03-07 00:00:00,2016-03-08 00:00:00,2016-03-08 14:48:00,2016-03-21 07:23:00,2016-03-21 11:14:00,2016-03-22 00:00:00,26.0,14.0,1.0,0.6166666666666667,12.690972222222221,0.16041666666666668,0.5319444444444444
62,3052481,ZSP1,10086767,BONVIVA,BONVIVA 3MG/3ML 1ASRG CIS,2016-01-27 00:00:00,H6265H14,2016-02-18 00:00:00,2016-02-26 00:00:00,2016-02-26 00:00:00,2016-02-29 11:32:00,2016-03-03 13:49:00,2016-03-04 10:43:00,2016-03-07 00:00:00,22.0,8.0,0.0,3.4805555555555556,3.095138888888889,0.8708333333333333,2.553472222222222
63,3052482,ZSP1,10062052,BONDRONAT,BONDRONA 6MG/6ML 5VIAL DE,2016-01-27 00:00:00,H1083H05,2016-02-18 00:00:00,2016-03-03 00:00:00,2016-03-03 00:00:00,2016-03-03 10:44:00,2016-03-17 11:21:00,2016-03-23 15:19:00,2016-03-29 00:00:00,22.0,14.0,0.0,0.44722222222222224,14.025694444444444,6.165277777777778,5.361805555555556
65,3052484,ZSP1,10140399,BONVIVA,BONVIVA 3MG/3ML 1ASRG PE,2016-01-27 00:00:00,H6265H08,2016-02-04 00:00:00,2016-02-18 00:00:00,2016-02-18 00:00:00,2016-02-18 11:01:00,2016-03-01 12:25:00,2016-03-03 14:05:00,2016-03-03 00:00:00,8.0,14.0,0.0,0.45902777777777776,12.058333333333334,2.0694444444444446,-0.5868055555555556
67,3052486,ZSP1,10126179,BONDRONAT,BONDRONA 6MG/6ML 1VIAL UA,2016-01-27 00:00:00,H1094H01,2016-02-19 00:00:00,2016-03-02 00:00:00,2016-03-02 00:00:00,2016-03-03 10:26:00,2016-03-08 11:29:00,2016-03-08 13:32:00,2016-03-09 00:00:00,23.0,12.0,0.0,1.4347222222222222,5.04375,0.08541666666666667,0.4361111111111111
68,3052487,ZSP1,10061938,BONDRONAT,BONDRONA 6MG/6ML 1VIAL GB-IE,2016-01-27 00:00:00,H1083H06,2016-02-18 00:00:00,2016-03-02 00:00:00,2016-03-02 00:00:00,2016-03-03 10:19:00,2016-03-08 10:44:00,2016-03-08 13:49:00,2016-03-09 00:00:00,22.0,13.0,0.0,1.429861111111111,5.017361111111111,0.1284722222222222,0.42430555555555555
69,3052488,ZSP1,10159047,AVASTIN,AVASTIN 100MG/4ML 1VIAL NL,2016-01-27 00:00:00,B8008H06,2016-02-19 00:00:00,2016-02-25 00:00:00,2016-02-25 00:00:00,2016-02-25 14:23:00,2016-03-09 08:34:00,2016-03-18 15:32:00,2016-03-21 00:00:00,23.0,6.0,0.0,0.5993055555555555,12.75763888888889,9.290277777777778,2.352777777777778
70,3052489,ZSP1,10159034,AVASTIN,AVASTIN 100MG/4ML 1VIAL ELL,2016-01-27 00:00:00,B8006H35,2016-02-19 00:00:00,2016-02-24 00:00:00,2016-02-24 00:00:00,2016-02-25 13:42:00,2016-03-09 09:04:00,2016-03-21 11:59:00,2016-03-22 00:00:00,23.0,5.0,0.0,1.5708333333333333,12.806944444444444,12.121527777777779,0.5006944444444444
71,3052490,ZSP1,10159049,AVASTIN,AVASTIN 100MG/4ML 1VIAL PT,2016-01-27 00:00:00,B8008H08,2016-02-19 00:00:00,2016-02-25 00:00:00,2016-02-26 00:00:00,2016-02-29 11:53:00,2016-03-09 07:45:00,2016-03-18 15:15:00,2016-03-21 00:00:00,23.0,6.0,1.0,3.495138888888889,8.827777777777778,9.3125,2.3645833333333335
72,3052491,ZSP1,10159050,AVASTIN,AVASTIN 100MG/4ML 1VIAL RO,2016-01-27 00:00:00,B8008H04,2016-02-19 00:00:00,2016-02-24 00:00:00,2016-02-24 00:00:00,2016-02-25 13:39:00,2016-03-08 14:47:00,2016-03-21 12:09:00,2016-03-22 00:00:00,23.0,5.0,0.0,1.56875,12.047222222222222,12.890277777777778,0.49375
73,3052492,ZSP1,10159212,HERCEPTIN,HERCEPTI 150MG 1VILY IV DE,2016-01-27 00:00:00,N1049H01,2016-03-24 00:00:00,2016-03-29 00:00:00,2016-03-29 00:00:00,2016-03-30 16:47:00,2016-04-08 11:00:00,2016-04-11 11:27:00,2016-04-12 00:00:00,57.0,5.0,0.0,1.6993055555555556,8.759027777777778,3.01875,0.5229166666666667
74,3052493,ZSP1,10159194,HERCEPTIN,HERCEPTI 150MG 1VILY IV IT-CLIN,2016-01-27 00:00:00,N1026H02,2016-02-24 00:00:00,2016-02-29 00:00:00,2016-03-01 00:00:00,2016-03-02 12:47:00,2016-03-07 13:32:00,2016-03-14 14:40:00,2016-03-14 00:00:00,28.0,5.0,1.0,1.5326388888888889,5.03125,7.0472222222222225,-0.6111111111111112
75,3052494,ZSP1,10159040,AVASTIN,AVASTIN 100MG/4ML 1VIAL GB-IE,2016-01-27 00:00:00,B8008H02,2016-02-04 00:00:00,2016-02-11 00:00:00,2016-02-11 00:00:00,2016-02-12 09:14:00,2016-02-17 07:07:00,2016-02-17 12:25:00,2016-02-17 00:00:00,8.0,7.0,0.0,1.3847222222222222,4.9118055555555555,0.22083333333333333,-0.5173611111111112
77,3052496,ZSP1,10159239,HERCEPTIN,HERCEPTI 150MG 1VILY IV GB-IE,2016-01-27 00:00:00,H4642H02,2016-03-07 00:00:00,2016-03-11 00:00:00,2016-03-14 00:00:00,2016-03-14 12:07:00,2016-03-23 14:14:00,2016-03-24 08:55:00,2016-03-29 00:00:00,40.0,4.0,3.0,0.5048611111111111,9.088194444444444,0.7784722222222222,4.628472222222222
78,3052497,ZSP1,10159243,HERCEPTIN,HERCEPTI 150MG 1VILY IV HU,2016-01-27 00:00:00,H4636H06,2016-02-12 00:00:00,2016-02-19 00:00:00,2016-02-19 00:00:00,2016-02-19 11:32:00,2016-03-01 14:40:00,2016-03-02 10:16:00,2016-03-02 00:00:00,16.0,7.0,0.0,0.48055555555555557,11.130555555555556,0.8166666666666667,-0.42777777777777776
79,3052498,ZSP1,10159250,HERCEPTIN,HERCEPTI 150MG 1VILY IV PL,2016-01-27 00:00:00,H4638H02,2016-02-12 00:00:00,2016-02-18 00:00:00,2016-02-19 00:00:00,2016-02-19 10:54:00,2016-03-02 13:48:00,2016-03-09 15:28:00,2016-03-09 00:00:00,16.0,6.0,1.0,0.45416666666666666,12.120833333333334,7.069444444444445,-0.6444444444444445
80,3052499,ZSP1,10159248,HERCEPTIN,HERCEPTI 150MG 1VILY IV NL,2016-01-27 00:00:00,H4638H06,2016-03-04 00:00:00,2016-03-11 00:00:00,2016-03-11 00:00:00,2016-03-14 12:11:00,2016-03-23 12:19:00,2016-03-24 15:24:00,2016-03-29 00:00:00,37.0,7.0,0.0,3.5076388888888888,9.005555555555556,1.1284722222222223,4.358333333333333
82,3052501,ZSP1,10145647,BONVIVA,BONVIVA 3MG/3ML 1ASRG CO,2016-01-27 00:00:00,H6271H07,2016-02-25 00:00:00,2016-03-08 00:00:00,2016-03-08 00:00:00,2016-03-08 14:47:00,2016-03-21 08:41:00,2016-03-21 11:27:00,2016-03-22 00:00:00,29.0,12.0,0.0,0.6159722222222223,12.745833333333334,0.11527777777777778,0.5229166666666667
83,3052502,ZSP1,10159048,AVASTIN,AVASTIN 100MG/4ML 1VIAL PL,2016-01-27 00:00:00,B8008H09,2016-02-24 00:00:00,2016-02-24 00:00:00,2016-02-25 00:00:00,2016-02-25 13:37:00,2016-03-07 11:52:00,2016-03-18 14:56:00,2016-03-21 00:00:00,28.0,0.0,1.0,0.5673611111111111,10.927083333333334,11.127777777777778,2.3777777777777778
84,3052503,ZSP1,10159236,HERCEPTIN,HERCEPTI 150MG 1VILY IV ES,2016-01-27 00:00:00,H4645H01,2016-02-16 00:00:00,2016-02-22 00:00:00,2016-02-22 00:00:00,2016-02-23 14:01:00,2016-03-04 07:44:00,2016-03-04 16:06:00,2016-03-07 00:00:00,20.0,6.0,0.0,1.5840277777777778,9.738194444444444,0.3486111111111111,2.3291666666666666
85,3052504,ZSP1,10159226,HERCEPTIN,HERCEPTI 150MG 1VILY IV AT,2016-01-27 00:00:00,H4637H02,2016-02-16 00:00:00,2016-02-19 00:00:00,2016-02-22 00:00:00,2016-02-22 10:42:00,2016-03-04 09:41:00,2016-03-04 13:48:00,2016-03-07 00:00:00,20.0,3.0,3.0,0.44583333333333336,10.957638888888889,0.17152777777777778,2.425
86,3052505,ZSP1,10159517,AVASTIN,AVASTIN 400MG/16ML 1VIAL DE,2016-01-27 00:00:00,B8013H08,2016-03-09 00:00:00,2016-03-16 00:00:00,2016-03-17 00:00:00,2016-03-18 14:14:00,2016-03-30 11:25:00,2016-03-31 11:34:00,2016-03-31 00:00:00,42.0,7.0,1.0,1.5930555555555554,11.88263888888889,1.00625,-0.48194444444444445
87,3052506,ZSP1,10168689,ACTEMRA,ROACTEM 200MG/10ML 1VIAL IV AT,2016-01-27 00:00:00,B2053H16,2016-02-29 00:00:00,2016-03-03 00:00:00,2016-03-04 00:00:00,2016-03-07 12:35:00,2016-03-08 12:26:00,2016-03-10 09:28:00,2016-03-10 00:00:00,33.0,3.0,1.0,3.5243055555555554,0.99375,1.8763888888888889,-0.39444444444444443
88,3052507,ZSP1,10159522,AVASTIN,AVASTIN 400MG/16ML 1VIAL GB-IE,2016-01-27 00:00:00,B8013H03,2016-02-15 00:00:00,2016-02-16 00:00:00,2016-02-16 00:00:00,2016-02-17 15:59:00,2016-02-23 10:27:00,2016-03-04 12:52:00,2016-03-07 00:00:00,19.0,1.0,0.0,1.6659722222222222,5.769444444444445,10.100694444444445,2.463888888888889
89,3052508,ZSP1,10159237,HERCEPTIN,HERCEPTI 150MG 1VILY IV FR-CLIN,2016-01-27 00:00:00,H4642H01,2016-02-16 00:00:00,2016-02-22 00:00:00,2016-02-23 00:00:00,2016-02-24 12:27:00,2016-02-29 08:03:00,2016-02-29 13:44:00,2016-03-01 00:00:00,20.0,6.0,1.0,1.51875,4.816666666666666,0.23680555555555555,0.42777777777777776
90,3052509,ZSP1,10159534,AVASTIN,AVASTIN 400MG/16ML 1VIAL PT,2016-01-27 00:00:00,B8013H05,2016-03-08 00:00:00,2016-03-16 00:00:00,2016-03-16 00:00:00,2016-03-16 16:32:00,2016-03-29 11:32:00,2016-03-31 08:21:00,2016-03-31 00:00:00,41.0,8.0,0.0,0.6888888888888889,12.791666666666666,1.867361111111111,-0.34791666666666665
91,3052510,ZSP1,10168733,ACTEMRA,ROACTEM 400MG/20ML 1VIAL IV GB-CHU,2016-01-27 00:00:00,B3008H13,2016-03-01 00:00:00,2016-03-07 00:00:00,2016-03-07 00:00:00,2016-03-08 14:55:00,2016-03-14 11:42:00,2016-03-16 09:51:00,2016-03-16 00:00:00,34.0,6.0,0.0,1.6215277777777777,5.865972222222222,1.9229166666666666,-0.41041666666666665
92,3052511,ZSP1,10168750,ACTEMRA,ROACTEM 80MG/4ML 1VIAL IV ES,2016-01-27 00:00:00,B2045H21,2016-03-03 00:00:00,2016-03-08 00:00:00,2016-03-08 00:00:00,2016-03-08 15:20:00,2016-03-15 09:04:00,2016-03-16 16:43:00,2016-03-21 00:00:00,36.0,5.0,0.0,0.6388888888888888,6.738888888888889,1.31875,4.303472222222222
93,3052512,ZSP1,10159533,AVASTIN,AVASTIN 400MG/16ML 1VIAL PL,2016-01-27 00:00:00,B8013H02,2016-02-15 00:00:00,2016-02-16 00:00:00,2016-02-16 00:00:00,2016-02-16 14:23:00,2016-03-03 08:38:00,2016-03-04 14:57:00,2016-03-07 00:00:00,19.0,1.0,0.0,0.5993055555555555,15.760416666666666,1.2631944444444445,2.377083333333333
94,3052513,ZSP1,10159536,AVASTIN,AVASTIN 400MG/16ML 1VIAL SE-FI,2016-01-27 00:00:00,B8009H15,2016-02-11 00:00:00,2016-02-15 00:00:00,2016-02-15 00:00:00,2016-02-16 14:44:00,2016-03-01 08:05:00,2016-03-02 09:57:00,2016-03-02 00:00:00,15.0,4.0,0.0,1.613888888888889,13.722916666666666,1.0777777777777777,-0.41458333333333336
95,3052514,ZSP1,10169198,PERJETA,PERJETA 420MG/14ML 1VIAL GB-IE,2016-01-27 00:00:00,H0147H07,2016-02-19 00:00:00,2016-03-02 00:00:00,2016-03-02 00:00:00,2016-03-03 10:17:00,2016-03-04 15:08:00,2016-03-10 13:17:00,2016-03-10 00:00:00,23.0,12.0,0.0,1.4284722222222221,1.2020833333333334,5.922916666666667,-0.5534722222222223
96,3052515,ZSP1,10159031,AVASTIN,AVASTIN 100MG/4ML 1VIAL DE,2016-01-27 00:00:00,B8006H33,2016-01-31 00:00:00,2016-02-02 00:00:00,2016-02-02 00:00:00,2016-02-03 17:14:00,2016-02-18 11:16:00,2016-02-25 09:39:00,2016-02-25 00:00:00,4.0,2.0,0.0,1.7180555555555554,14.751388888888888,6.932638888888889,-0.40208333333333335
97,3052520,ZSP1,10159252,HERCEPTIN,HERCEPTI 150MG 1VILY IV PT,2016-01-27 00:00:00,H4636H03,2016-02-08 00:00:00,2016-02-17 00:00:00,2016-02-17 00:00:00,2016-02-18 10:08:00,2016-02-22 11:15:00,2016-02-22 16:49:00,2016-02-23 00:00:00,12.0,9.0,0.0,1.4222222222222223,4.0465277777777775,0.23194444444444445,0.29930555555555555
98,3052521,ZSP1,10159520,AVASTIN,AVASTIN 400MG/16ML 1VIAL ES,2016-01-27 00:00:00,B8013H10,2016-03-09 00:00:00,2016-03-17 00:00:00,2016-03-17 00:00:00,2016-03-18 09:56:00,2016-03-31 14:43:00,2016-04-05 12:28:00,2016-04-06 00:00:00,42.0,8.0,0.0,1.413888888888889,13.199305555555556,4.90625,0.48055555555555557
99,3052522,ZSP1,10159525,AVASTIN,AVASTIN 400MG/16ML 1VIAL IT-CLIN,2016-01-27 00:00:00,B8013H07,2016-03-08 00:00:00,2016-03-16 00:00:00,2016-03-16 00:00:00,2016-03-17 13:16:00,2016-03-31 07:22:00,2016-03-31 10:23:00,2016-03-31 00:00:00,41.0,8.0,0.0,1.5527777777777778,13.754166666666666,0.12569444444444444,-0.4326388888888889
100,3052523,ZSP1,10159253,HERCEPTIN,HERCEPTI 150MG 1VILY IV RO,2016-01-27 00:00:00,H4638H05,2016-02-16 00:00:00,2016-02-23 00:00:00,2016-02-23 00:00:00,2016-02-24 12:14:00,2016-03-03 13:49:00,2016-03-04 15:47:00,2016-03-08 00:00:00,20.0,7.0,0.0,1.5097222222222222,8.065972222222221,1.0819444444444444,3.342361111111111
101,3052524,ZSP1,10168739,ACTEMRA,ROACTEM 400MG/20ML 1VIAL IV PL,2016-01-27 00:00:00,B3008H14,2016-03-01 00:00:00,2016-03-07 00:00:00,2016-03-07 00:00:00,2016-03-08 14:56:00,2016-03-14 10:38:00,2016-03-16 10:02:00,2016-03-16 00:00:00,34.0,6.0,0.0,1.6222222222222222,5.820833333333334,1.975,-0.41805555555555557
102,3052525,ZSP1,10168701,ACTEMRA,ROACTEM 200MG/10ML 1VIAL IV GB-CHU,2016-01-27 00:00:00,B2053H19,2016-02-29 00:00:00,2016-03-04 00:00:00,2016-03-07 00:00:00,2016-03-07 12:02:00,2016-03-09 09:20:00,2016-03-09 11:17:00,2016-03-16 00:00:00,33.0,4.0,3.0,0.5013888888888889,1.8875,0.08125,6.529861111111111
