process_order_number,order_type,material_number,product_name,product_family,process_order_creation_date,batch_number,process_order_release_date,packaging_line_start_date,packaging_line_finish_date,packaging_final_check_date,brr_start_date,brr_end_date,qa_release_date,IN_order_type,IN_created_from,IN_created_to
000003050183,ZSP1,000000000010159535,AVASTIN 400MG/16ML 1VIAL RO,AVASTIN,05/01/2016,B8012H05,25/01/2016,29/01/2016,29/01/2016,29/01/16 12:25,04/02/16 13:36,05/02/16 11:47,09/02/2016,ZSP1,01/01/2016,31/12/2016
000003050184,ZSP1,000000000010159035,AVASTIN 100MG/4ML 1VIAL ES,AVASTIN,05/01/2016,B8006H30,28/01/2016,01/02/2016,01/02/2016,02/02/16 16:32,17/02/16 14:31,18/02/16 11:22,18/02/2016,ZSP1,01/01/2016,31/12/2016
000003050185,ZSP1,000000000010159030,AVASTIN 100MG/4ML 1VIAL CZ,AVASTIN,05/01/2016,B8006H32,29/01/2016,01/02/2016,02/02/2016,02/02/16 14:56,18/02/16 07:42,25/02/16 14:07,25/02/2016,ZSP1,01/01/2016,31/12/2016
000003050206,ZSP1,000000000010108937,NEORECOR 10000IU/0.6ML 1ASRG FR-CLIN,NEORECORMON,05/01/2016,H6208H13,05/01/2016,07/01/2016,07/01/2016,08/01/16 11:16,12/01/16 07:55,15/01/16 12:42,18/01/2016,ZSP1,01/01/2016,31/12/2016
000003050716,ZSP1,000000000010142033,MIRCERA 100MCG/0.3ML 1ASRG EC,MIRCERA,07/01/2016,H0578H08,22/02/2016,29/02/2016,,29/02/16 11:27,,,11/03/2016,ZSP1,01/01/2016,31/12/2016
000003050779,ZSP1,000000000010161795,MIRCERA 75MCG/0.3ML 1ASRG US-WDY,MIRCERA,07/01/2016,H0576H03,14/01/2016,14/01/2016,15/01/2016,15/01/16 15:17,,,20/01/2016,ZSP1,01/01/2016,31/12/2016
000003051020,ZSP1,000000000010095576,MIRCERA 360MCG/0.6ML 1ASRG ELL,MIRCERA,08/01/2016,H0020H13,29/01/2016,01/02/2016,01/02/2016,02/02/16 14:59,,,24/02/2016,ZSP1,01/01/2016,31/12/2016
000003051048,ZSP1,000000000010108983,NEORECOR 30000IU/.6ML 4 ASRG DEATBENL,NEORECORMON,08/01/2016,H0630H22,13/01/2016,22/01/2016,22/01/2016,25/01/16 12:53,,,03/02/2016,ZSP1,01/01/2016,31/12/2016
000003051071,ZSP1,000000000010142040,MIRCERA 150MCG/0.3ML 1ASRG UY-BO-PY,MIRCERA,08/01/2016,H0552H27,13/01/2016,15/01/2016,15/01/2016,15/01/16 15:16,,,28/01/2016,ZSP1,01/01/2016,31/12/2016
000003051715,ZSP1,000000000010159034,AVASTIN 100MG/4ML 1VIAL ELL,AVASTIN,11/01/2016,B8006H29,27/01/2016,01/02/2016,01/02/2016,02/02/16 16:28,17/02/16 13:44,18/02/16 11:56,18/02/2016,ZSP1,01/01/2016,31/12/2016
000003051862,ZSP1,000000000010111641,BONDRONA 2MG/2ML 1VIAL FE,BONDRONAT,11/01/2016,H0512H06,09/02/2016,11/02/2016,11/02/2016,11/02/16 15:01,12/02/16 09:03,17/02/16 12:01,17/02/2016,ZSP1,01/01/2016,31/12/2016
000003051888,ZSP1,000000000010159040,AVASTIN 100MG/4ML 1VIAL GB-IE,AVASTIN,11/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051942,ZSP1,000000000010159030,AVASTIN 100MG/4ML 1VIAL CZ,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051943,ZSP1,000000000010159513,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051944,ZSP1,000000000010159514,AVASTIN 400MG/16ML 1VIAL BE,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051945,ZSP1,000000000010159535,AVASTIN 400MG/16ML 1VIAL RO,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051946,ZSP1,000000000010159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051948,ZSP1,000000000010159513,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051949,ZSP1,000000000010159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051952,ZSP1,000000000010159046,AVASTIN 100MG/4ML 1VIAL IT-CLIN,AVASTIN,12/01/2016,B8008H01,04/02/2016,10/02/2016,11/02/2016,11/02/16 15:12,24/02/16 07:01,24/02/16 12:05,24/02/2016,ZSP1,01/01/2016,31/12/2016
000003051964,ZSP1,000000000010159515,AVASTIN 400MG/16ML 1VIAL BG,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051965,ZSP1,000000000010159035,AVASTIN 100MG/4ML 1VIAL ES,AVASTIN,12/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003051975,ZSP1,000000000010071604,BONVIVA 3MG/3ML 1ASRG FE,BONVIVA,12/01/2016,H6265H05,22/01/2016,28/01/2016,28/01/2016,29/01/16 12:38,29/02/16 09:13,01/03/16 11:02,03/03/2016,ZSP1,01/01/2016,31/12/2016
000003052023,ZSP1,000000000010108938,NEORECOR 10000IU/.6ML 1 ASRG IT-PU,NEORECORMON,13/01/2016,H6208H14,13/01/2016,27/01/2016,27/01/2016,28/01/16 13:27,29/01/16 10:43,29/01/16 14:44,01/02/2016,ZSP1,01/01/2016,31/12/2016
000003052033,ZSP1,000000000010122503,NEORECOR 5000IU/0.3ML 1ASRG IN,NEORECORMON,13/01/2016,H0647H10,13/01/2016,29/01/2016,29/01/2016,29/01/16 12:29,03/02/16 13:55,03/02/16 15:54,03/02/2016,ZSP1,01/01/2016,31/12/2016
000003052058,ZSP1,000000000010095599,MIRCERA 75MCG/.3ML 1 ASRG ES-PT,MIRCERA,14/01/2016,H0579H03,04/02/2016,08/02/2016,,09/02/16 11:41,,,23/02/2016,ZSP1,01/01/2016,31/12/2016
000003052125,ZSP1,000000000010159035,AVASTIN 100MG/4ML 1VIAL ES,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052126,ZSP1,000000000010159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052127,ZSP1,000000000010159515,AVASTIN 400MG/16ML 1VIAL BG,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052128,ZSP1,000000000010159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052146,ZSP1,000000000010159535,AVASTIN 400MG/16ML 1VIAL RO,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052147,ZSP1,000000000010159514,AVASTIN 400MG/16ML 1VIAL BE,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052148,ZSP1,000000000010159030,AVASTIN 100MG/4ML 1VIAL CZ,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052149,ZSP1,000000000010159513,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052150,ZSP1,000000000010159513,AVASTIN 400MG/16ML 1VIAL AT,AVASTIN,15/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052154,ZSP1,000000000010161795,MIRCERA 75MCG/0.3ML 1ASRG US-WDY,MIRCERA,15/01/2016,H0576H04,15/01/2016,18/01/2016,20/01/2016,21/01/16 10:39,,,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052216,ZSP1,000000000010095671,MIRCERA 250MCG/.3ML 1 ASRG IT-PU,MIRCERA,18/01/2016,H0549H02,04/02/2016,08/02/2016,08/02/2016,08/02/16 12:14,,,24/02/2016,ZSP1,01/01/2016,31/12/2016
000003052240,ZSP1,000000000010095674,MIRCERA 30MCG/.3ML 1 ASRG CZSKHUSI,MIRCERA,18/01/2016,H0551H07,18/01/2016,29/01/2016,29/01/2016,01/02/16 09:26,,,10/02/2016,ZSP1,01/01/2016,31/12/2016
000003052261,ZSP1,000000000010159040,AVASTIN 100MG/4ML 1VIAL GB-IE,AVASTIN,19/01/2016,B8006H25,19/01/2016,25/01/2016,25/01/2016,26/01/16 17:12,02/02/16 11:07,03/02/16 13:11,03/02/2016,ZSP1,01/01/2016,31/12/2016
000003052286,ZSP1,000000000010071609,BONVIVA 3MG/3ML 1ASRG HU-SI,BONVIVA,20/01/2016,H6277H08,27/01/2016,29/01/2016,29/01/2016,29/01/16 12:26,05/02/16 10:31,05/02/16 14:13,09/02/2016,ZSP1,01/01/2016,31/12/2016
000003052294,ZSP1,000000000010095666,MIRCERA 250MCG/.3ML 1 ASRG BE-NL,MIRCERA,20/01/2016,H0549H01,04/02/2016,08/02/2016,08/02/2016,08/02/16 12:15,,,14/03/2016,ZSP1,01/01/2016,31/12/2016
000003052333,ZSP1,000000000010159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,22/01/2016,B7217H03,26/01/2016,28/01/2016,28/01/2016,29/01/16 12:36,12/02/16 13:50,16/02/16 11:19,16/02/2016,ZSP1,01/01/2016,31/12/2016
000003052337,ZSP1,000000000010121705,REC 3000IU/0.3ML 4ASRG CLIN-TR,NEORECORMON,22/01/2016,H0572/01,26/02/2016,01/03/2016,01/03/2016,01/03/16 11:03,,,29/03/2016,ZSP1,01/01/2016,31/12/2016
000003052344,ZSP1,000000000010110655,RECORMON 2000IU/0.3ML 6ASRG VN,NEORECORMON,22/01/2016,H0839H08,05/02/2016,08/02/2016,08/02/2016,09/02/16 11:53,16/02/16 09:41,17/02/16 12:59,17/02/2016,ZSP1,01/01/2016,31/12/2016
000003052447,ZSP1,000000000010169189,PERJETA 420MG/14ML 1VIAL AT,PERJETA,26/01/2016,H0141H08,26/01/2016,03/02/2016,03/02/2016,03/02/16 16:56,11/02/16 14:36,15/02/16 15:29,16/02/2016,ZSP1,01/01/2016,31/12/2016
000003052459,ZSP1,000000000010153440,BONVIVA 3MG/3ML 1ASRG LT,BONVIVA,27/01/2016,H6271H03,22/02/2016,07/03/2016,07/03/2016,07/03/16 12:30,16/03/16 12:11,18/03/16 12:55,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052464,ZSP1,000000000010161798,MIRCERA 200MCG/0.3ML 1ASRG US-WDY,MIRCERA,27/01/2016,H0550H02,01/03/2016,04/03/2016,04/03/2016,07/03/16 12:30,,,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052475,ZSP1,000000000010129627,BONVIVA 3MG/3ML 1ASRG KR,BONVIVA,27/01/2016,H6275H08,15/02/2016,19/02/2016,25/02/2016,26/02/16 10:52,08/03/16 12:03,16/03/16 09:50,21/03/2016,ZSP1,01/01/2016,31/12/2016
000003052476,ZSP1,000000000010071577,BONVIVA 3MG/3ML 1ASRG CZ-SK,BONVIVA,27/01/2016,H6271H05,25/02/2016,08/03/2016,08/03/2016,08/03/16 14:38,21/03/16 09:00,21/03/16 11:21,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052477,ZSP1,000000000010074424,BONVIVA 3MG/3ML 1ASRG IT-CLIN,BONVIVA,27/01/2016,H6271H04,22/02/2016,07/03/2016,08/03/2016,08/03/16 14:48,21/03/16 07:23,21/03/16 11:14,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052478,ZSP1,000000000010071604,BONVIVA 3MG/3ML 1ASRG FE,BONVIVA,27/01/2016,H6271H06,25/02/2016,08/03/2016,,09/03/16 13:36,21/03/16 14:25,22/03/16 09:02,23/03/2016,ZSP1,01/01/2016,31/12/2016
000003052479,ZSP1,000000000010083426,BONVIVA 3MG/3ML 1ASRG EFA,BONVIVA,27/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052481,ZSP1,000000000010086767,BONVIVA 3MG/3ML 1ASRG CIS,BONVIVA,27/01/2016,H6265H14,18/02/2016,26/02/2016,26/02/2016,29/02/16 11:32,03/03/16 13:49,04/03/16 10:43,07/03/2016,ZSP1,01/01/2016,31/12/2016
000003052483,ZSP1,000000000010111638,BONDRONA 6MG/6ML 1VIAL FE,BONDRONAT,27/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052484,ZSP1,000000000010140399,BONVIVA 3MG/3ML 1ASRG PE,BONVIVA,27/01/2016,H6265H08,04/02/2016,18/02/2016,18/02/2016,18/02/16 11:01,01/03/16 12:25,03/03/16 14:05,03/03/2016,ZSP1,01/01/2016,31/12/2016
000003052485,ZSP1,000000000010145649,BONVIVA 3MG/3ML 1ASRG PRISA,BONVIVA,27/01/2016,H6271H02,22/02/2016,03/03/2016,,07/03/16 12:01,09/03/16 11:39,11/03/16 10:09,14/03/2016,ZSP1,01/01/2016,31/12/2016
000003052486,ZSP1,000000000010126179,BONDRONA 6MG/6ML 1VIAL UA,BONDRONAT,27/01/2016,H1094H01,19/02/2016,02/03/2016,02/03/2016,03/03/16 10:26,08/03/16 11:29,08/03/16 13:32,09/03/2016,ZSP1,01/01/2016,31/12/2016
000003052487,ZSP1,000000000010061938,BONDRONA 6MG/6ML 1VIAL GB-IE,BONDRONAT,27/01/2016,H1083H06,18/02/2016,02/03/2016,02/03/2016,03/03/16 10:19,08/03/16 10:44,08/03/16 13:49,09/03/2016,ZSP1,01/01/2016,31/12/2016
000003052488,ZSP1,000000000010159047,AVASTIN 100MG/4ML 1VIAL NL,AVASTIN,27/01/2016,B8008H06,19/02/2016,25/02/2016,25/02/2016,25/02/16 14:23,09/03/16 08:34,18/03/16 15:32,21/03/2016,ZSP1,01/01/2016,31/12/2016
000003052489,ZSP1,000000000010159034,AVASTIN 100MG/4ML 1VIAL ELL,AVASTIN,27/01/2016,B8006H35,19/02/2016,24/02/2016,24/02/2016,25/02/16 13:42,09/03/16 09:04,21/03/16 11:59,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052490,ZSP1,000000000010159049,AVASTIN 100MG/4ML 1VIAL PT,AVASTIN,27/01/2016,B8008H08,19/02/2016,25/02/2016,26/02/2016,29/02/16 11:53,09/03/16 07:45,18/03/16 15:15,21/03/2016,ZSP1,01/01/2016,31/12/2016
000003052491,ZSP1,000000000010159050,AVASTIN 100MG/4ML 1VIAL RO,AVASTIN,27/01/2016,B8008H04,19/02/2016,24/02/2016,24/02/2016,25/02/16 13:39,08/03/16 14:47,21/03/16 12:09,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052492,ZSP1,000000000010159212,HERCEPTI 150MG 1VILY IV DE,HERCEPTIN,27/01/2016,N1049H01,24/03/2016,29/03/2016,29/03/2016,30/03/16 16:47,08/04/16 11:00,11/04/16 11:27,12/04/2016,ZSP1,01/01/2016,31/12/2016
000003052493,ZSP1,000000000010159194,HERCEPTI 150MG 1VILY IV IT-CLIN,HERCEPTIN,27/01/2016,N1026H02,24/02/2016,29/02/2016,01/03/2016,02/03/16 12:47,07/03/16 13:32,14/03/16 14:40,14/03/2016,ZSP1,01/01/2016,31/12/2016
000003052495,ZSP1,000000000010159228,HERCEPTI 150MG 1VILY IV BE,HERCEPTIN,27/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052496,ZSP1,000000000010159239,HERCEPTI 150MG 1VILY IV GB-IE,HERCEPTIN,27/01/2016,H4642H02,07/03/2016,11/03/2016,14/03/2016,14/03/16 12:07,23/03/16 14:14,24/03/16 08:55,29/03/2016,ZSP1,01/01/2016,31/12/2016
000003052497,ZSP1,000000000010159243,HERCEPTI 150MG 1VILY IV HU,HERCEPTIN,27/01/2016,H4636H06,12/02/2016,19/02/2016,19/02/2016,19/02/16 11:32,01/03/16 14:40,02/03/16 10:16,02/03/2016,ZSP1,01/01/2016,31/12/2016
000003052498,ZSP1,000000000010159250,HERCEPTI 150MG 1VILY IV PL,HERCEPTIN,27/01/2016,H4638H02,12/02/2016,18/02/2016,19/02/2016,19/02/16 10:54,02/03/16 13:48,09/03/16 15:28,09/03/2016,ZSP1,01/01/2016,31/12/2016
000003052499,ZSP1,000000000010159248,HERCEPTI 150MG 1VILY IV NL,HERCEPTIN,27/01/2016,H4638H06,04/03/2016,11/03/2016,11/03/2016,14/03/16 12:11,23/03/16 12:19,24/03/16 15:24,29/03/2016,ZSP1,01/01/2016,31/12/2016
000003052500,ZSP1,000000000010145650,BONVIVA 3MG/3ML 1ASRG HK-TAK,BONVIVA,27/01/2016,,,,,,,,,ZSP1,01/01/2016,31/12/2016
000003052501,ZSP1,000000000010145647,BONVIVA 3MG/3ML 1ASRG CO,BONVIVA,27/01/2016,H6271H07,25/02/2016,08/03/2016,08/03/2016,08/03/16 14:47,21/03/16 08:41,21/03/16 11:27,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052502,ZSP1,000000000010159048,AVASTIN 100MG/4ML 1VIAL PL,AVASTIN,27/01/2016,B8008H09,24/02/2016,24/02/2016,25/02/2016,25/02/16 13:37,07/03/16 11:52,18/03/16 14:56,21/03/2016,ZSP1,01/01/2016,31/12/2016
000003052503,ZSP1,000000000010159236,HERCEPTI 150MG 1VILY IV ES,HERCEPTIN,27/01/2016,H4645H01,16/02/2016,22/02/2016,22/02/2016,23/02/16 14:01,04/03/16 07:44,04/03/16 16:06,07/03/2016,ZSP1,01/01/2016,31/12/2016
000003052504,ZSP1,000000000010159226,HERCEPTI 150MG 1VILY IV AT,HERCEPTIN,27/01/2016,H4637H02,16/02/2016,19/02/2016,22/02/2016,22/02/16 10:42,04/03/16 09:41,04/03/16 13:48,07/03/2016,ZSP1,01/01/2016,31/12/2016
000003052505,ZSP1,000000000010159517,AVASTIN 400MG/16ML 1VIAL DE,AVASTIN,27/01/2016,B8013H08,09/03/2016,16/03/2016,17/03/2016,18/03/16 14:14,30/03/16 11:25,31/03/16 11:34,31/03/2016,ZSP1,01/01/2016,31/12/2016
000003052506,ZSP1,000000000010168689,ROACTEM 200MG/10ML 1VIAL IV AT,ACTEMRA,27/01/2016,B2053H16,29/02/2016,03/03/2016,04/03/2016,07/03/16 12:35,08/03/16 12:26,10/03/16 09:28,10/03/2016,ZSP1,01/01/2016,31/12/2016
000003052507,ZSP1,000000000010159522,AVASTIN 400MG/16ML 1VIAL GB-IE,AVASTIN,27/01/2016,B8013H03,15/02/2016,16/02/2016,16/02/2016,17/02/16 15:59,23/02/16 10:27,04/03/16 12:52,07/03/2016,ZSP1,01/01/2016,31/12/2016
000003052508,ZSP1,000000000010159237,HERCEPTI 150MG 1VILY IV FR-CLIN,HERCEPTIN,27/01/2016,H4642H01,16/02/2016,22/02/2016,23/02/2016,24/02/16 12:27,29/02/16 08:03,29/02/16 13:44,01/03/2016,ZSP1,01/01/2016,31/12/2016
000003052509,ZSP1,000000000010159534,AVASTIN 400MG/16ML 1VIAL PT,AVASTIN,27/01/2016,B8013H05,08/03/2016,16/03/2016,16/03/2016,16/03/16 16:32,29/03/16 11:32,31/03/16 08:21,31/03/2016,ZSP1,01/01/2016,31/12/2016
000003052510,ZSP1,000000000010168733,ROACTEM 400MG/20ML 1VIAL IV GB-CHU,ACTEMRA,27/01/2016,B3008H13,01/03/2016,07/03/2016,07/03/2016,08/03/16 14:55,14/03/16 11:42,16/03/16 09:51,16/03/2016,ZSP1,01/01/2016,31/12/2016
000003052511,ZSP1,000000000010168750,ROACTEM 80MG/4ML 1VIAL IV ES,ACTEMRA,27/01/2016,B2045H21,03/03/2016,08/03/2016,08/03/2016,08/03/16 15:20,15/03/16 09:04,16/03/16 16:43,21/03/2016,ZSP1,01/01/2016,31/12/2016
000003052512,ZSP1,000000000010159533,AVASTIN 400MG/16ML 1VIAL PL,AVASTIN,27/01/2016,B8013H02,15/02/2016,16/02/2016,16/02/2016,16/02/16 14:23,03/03/16 08:38,04/03/16 14:57,07/03/2016,ZSP1,01/01/2016,31/12/2016
000003052513,ZSP1,000000000010159536,AVASTIN 400MG/16ML 1VIAL SE-FI,AVASTIN,27/01/2016,B8009H15,11/02/2016,15/02/2016,15/02/2016,16/02/16 14:44,01/03/16 08:05,02/03/16 09:57,02/03/2016,ZSP1,01/01/2016,31/12/2016
000003052514,ZSP1,000000000010169198,PERJETA 420MG/14ML 1VIAL GB-IE,PERJETA,27/01/2016,H0147H07,19/02/2016,02/03/2016,02/03/2016,03/03/16 10:17,04/03/16 15:08,10/03/16 13:17,10/03/2016,ZSP1,01/01/2016,31/12/2016
000003052515,ZSP1,000000000010159031,AVASTIN 100MG/4ML 1VIAL DE,AVASTIN,27/01/2016,B8006H33,31/01/2016,02/02/2016,02/02/2016,03/02/16 17:14,18/02/16 11:16,25/02/16 09:39,25/02/2016,ZSP1,01/01/2016,31/12/2016
000003052520,ZSP1,000000000010159252,HERCEPTI 150MG 1VILY IV PT,HERCEPTIN,27/01/2016,H4636H03,08/02/2016,17/02/2016,17/02/2016,18/02/16 10:08,22/02/16 11:15,22/02/16 16:49,23/02/2016,ZSP1,01/01/2016,31/12/2016
000003052521,ZSP1,000000000010159520,AVASTIN 400MG/16ML 1VIAL ES,AVASTIN,27/01/2016,B8013H10,09/03/2016,17/03/2016,17/03/2016,18/03/16 09:56,31/03/16 14:43,05/04/16 12:28,06/04/2016,ZSP1,01/01/2016,31/12/2016
000003052522,ZSP1,000000000010159525,AVASTIN 400MG/16ML 1VIAL IT-CLIN,AVASTIN,27/01/2016,B8013H07,08/03/2016,16/03/2016,16/03/2016,17/03/16 13:16,31/03/16 07:22,31/03/16 10:23,31/03/2016,ZSP1,01/01/2016,31/12/2016
000003052523,ZSP1,000000000010159253,HERCEPTI 150MG 1VILY IV RO,HERCEPTIN,27/01/2016,H4638H05,16/02/2016,23/02/2016,23/02/2016,24/02/16 12:14,03/03/16 13:49,04/03/16 15:47,08/03/2016,ZSP1,01/01/2016,31/12/2016
000003052524,ZSP1,000000000010168739,ROACTEM 400MG/20ML 1VIAL IV PL,ACTEMRA,27/01/2016,B3008H14,01/03/2016,07/03/2016,07/03/2016,08/03/16 14:56,14/03/16 10:38,16/03/16 10:02,16/03/2016,ZSP1,01/01/2016,31/12/2016
000003052525,ZSP1,000000000010168701,ROACTEM 200MG/10ML 1VIAL IV GB-CHU,ACTEMRA,27/01/2016,B2053H19,29/02/2016,04/03/2016,07/03/2016,07/03/16 12:02,09/03/16 09:20,09/03/16 11:17,16/03/2016,ZSP1,01/01/2016,31/12/2016
000003052526,ZSP1,000000000010168749,ROACTEM 400MG/20ML 1VIAL IV SK,ACTEMRA,27/01/2016,B3008H12,01/03/2016,07/03/2016,07/03/2016,08/03/16 14:56,14/03/16 13:33,17/03/16 16:07,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052527,ZSP1,000000000010159526,AVASTIN 400MG/16ML 1VIAL NL,AVASTIN,27/01/2016,B8013H06,08/03/2016,16/03/2016,16/03/2016,16/03/16 16:41,29/03/16 11:22,31/03/16 09:28,31/03/2016,ZSP1,01/01/2016,31/12/2016
000003052528,ZSP1,000000000010168699,ROACTEM 200MG/10ML 1VIAL IV FI,ACTEMRA,27/01/2016,B2053H17,29/02/2016,04/03/2016,04/03/2016,07/03/16 12:34,08/03/16 14:33,10/03/16 09:52,10/03/2016,ZSP1,01/01/2016,31/12/2016
000003052529,ZSP1,000000000010169191,PERJETA 420MG/14ML 1VIAL CZ,PERJETA,27/01/2016,H0147H03,12/02/2016,15/02/2016,15/02/2016,15/02/16 09:38,02/03/16 11:08,07/03/16 10:41,08/03/2016,ZSP1,01/01/2016,31/12/2016
000003052530,ZSP1,000000000010168742,ROACTEM 400MG/20ML 1VIAL IV RO,ACTEMRA,27/01/2016,B3008H15,03/03/2016,07/03/2016,07/03/2016,08/03/16 14:53,14/03/16 14:02,18/03/16 12:58,22/03/2016,ZSP1,01/01/2016,31/12/2016
000003052531,ZSP1,000000000010168758,ROACTEM 80MG/4ML 1VIAL IV NL,ACTEMRA,27/01/2016,B2045H22,03/03/2016,09/03/2016,09/03/2016,10/03/16 15:03,15/03/16 10:06,16/03/16 16:50,21/03/2016,ZSP1,01/01/2016,31/12/2016
000003052532,ZSP1,000000000010168757,ROACTEM 80MG/4ML 1VIAL IV IT-CLIN,ACTEMRA,27/01/2016,B2045H19,03/03/2016,08/03/2016,08/03/2016,08/03/16 15:23,14/03/16 13:56,18/03/16 12:39,22/03/2016,ZSP1,01/01/2016,31/12/2016
