Plant,Plant Name,Material,Product Family,Dollar Per KG,Product Name,KGs/Vial,Batch,Actual finish,Year,Quarter,Month,DS Goods Issued (KGs),Expected Vials,Actual Filled Vials,Insp Passed Vials,Packed Vials,Filling Yield,Insp Yield,Packed Yield,Overall Yield,KGs Issued,KG's Filled,KG's Inspected,KG's Packed,KG's lost - Fill,KG's lost - Insp,KG's lost - Pkg,Total KG's lost,$s lost - Fill,$s lost - Insp,$s lost - Pkg,Total $s lost
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3117935,8/8/2016,2016,Q3-2016,Aug,277.7,15497,15040,14445,13405,97.05%,93.22%,86.50%,86.50%,277.7,95.952,92.162,85.526,2.917,6.707,13.342,13.342,"$459,368","$1,056,310","$2,101,426","$2,101,425.92"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3117936,7/6/2016,2016,Q3-2016,Jul,279,15569,14931,14281,14067,95.90%,91.73%,90.35%,90.35%,279,95.259,91.115,89.748,4.073,8.216,9.583,9.583,"$641,433","$1,294,075","$1,509,335","$1,509,334.88"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3117937,7/23/2016,2016,Q3-2016,Jul,276.3,15419,15149,14959,14615,98.25%,97.02%,94.79%,94.79%,276.3,96.649,95.441,93.245,1.721,2.93,5.125,5.125,"$271,133","$461,410","$807,144","$807,143.66"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3117937,7/22/2016,2016,Q3-2016,Jul,276.3,15419,15280,15226,14952,99.10%,98.75%,96.98%,96.98%,276.3,97.485,97.144,95.395,0.885,1.227,2.975,2.975,"$139,440","$193,178","$468,581","$468,580.60"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3117938,7/11/2016,2016,Q3-2016,Jul,274.8,15335,15128,14734,14086,98.65%,96.09%,91.86%,91.86%,274.8,96.515,94.006,89.87,1.321,3.83,7.966,7.966,"$208,024","$603,255","$1,254,716","$1,254,715.98"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3117939,7/18/2016,2016,Q3-2016,Jul,279.3,15586,15157,14460,13592,97.25%,92.78%,87.21%,87.21%,279.3,96.704,92.255,86.72,2.735,7.183,12.718,12.718,"$430,692","$1,131,311","$2,003,124","$2,003,123.69"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3123218,8/12/2016,2016,Q3-2016,Aug,277.9,15508,14919,14523,13434,96.20%,93.65%,86.63%,86.63%,277.9,95.18,92.658,85.709,3.76,6.282,13.231,13.231,"$592,155","$989,413","$2,083,934","$2,083,933.96"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3123220,8/19/2016,2016,Q3-2016,Aug,277.4,15480,15070,14776,14081,97.35%,95.45%,90.97%,90.97%,277.4,96.145,94.27,89.839,2.617,4.492,8.923,8.923,"$412,207","$707,491","$1,405,324","$1,405,323.77"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3123221,8/23/2016,2016,Q3-2016,Aug,278.5,15541,15448,14915,14557,99.40%,95.97%,93.67%,93.67%,278.5,98.559,95.158,92.874,0.595,3.995,6.279,6.279,"$93,700","$629,242","$988,941","$988,940.74"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3123222,8/28/2016,2016,Q3-2016,Aug,276.6,15435,15188,14809,13905,98.40%,95.94%,90.09%,90.09%,276.6,96.901,94.479,88.716,1.576,3.998,9.761,9.761,"$248,162","$629,711","$1,537,417","$1,537,416.71"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3130785,8/31/2016,2016,Q3-2016,Aug,276.4,15424,15278,15033,13530,99.05%,97.47%,87.72%,87.72%,276.4,97.471,95.911,86.32,0.935,2.494,12.086,12.086,"$147,240","$392,866","$1,903,471","$1,903,471.23"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3130787,9/20/2016,2016,Q3-2016,Sep,276.6,15435,15011,14763,13597,97.25%,95.65%,88.09%,88.09%,276.6,95.769,94.189,86.748,2.708,4.288,11.729,11.729,"$426,529","$675,408","$1,847,351","$1,847,350.91"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3130788,9/28/2016,2016,Q3-2016,Sep,277.3,15474,14902,14887,13562,96.30%,96.20%,87.64%,87.64%,277.3,95.073,94.978,86.525,3.653,3.748,12.201,12.201,"$575,327","$590,301","$1,921,659","$1,921,659.24"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3130789,10/2/2016,2016,Q4-2016,Oct,273.8,15279,14836,14220,13922,97.10%,93.07%,91.12%,91.12%,273.8,94.653,90.725,88.82,2.827,6.755,8.66,8.66,"$445,241","$1,063,918","$1,363,991","$1,363,990.83"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3130790,9/23/2016,2016,Q3-2016,Sep,275.6,15379,15010,14995,14021,97.60%,97.50%,91.16%,91.16%,275.6,95.766,95.67,89.452,2.355,2.451,8.669,8.669,"$370,897","$385,980","$1,365,405","$1,365,405.29"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3138204,11/16/2016,2016,Q4-2016,Nov,275.6,15379,15018,14305,14305,97.65%,93.01%,93.01%,93.01%,275.6,95.815,91.264,91.264,2.306,6.857,6.857,6.857,"$363,170","$1,079,987","$1,079,987","$1,079,987.29"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3138205,10/6/2016,2016,Q4-2016,Oct,277.2,15469,15306,14954,14909,98.95%,96.67%,96.38%,96.38%,277.2,97.654,95.408,95.122,1.036,3.282,3.569,3.569,"$163,210","$516,963","$562,043","$562,043.02"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3138207,10/19/2016,2016,Q4-2016,Oct,275,15346,14609,14069,13984,95.20%,91.68%,91.13%,91.13%,275,93.208,89.759,89.221,4.7,8.148,8.687,8.687,"$740,180","$1,283,348","$1,368,171","$1,368,170.59"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3138209,10/23/2016,2016,Q4-2016,Oct,274.2,15301,14536,14028,13887,95.00%,91.68%,90.76%,90.76%,274.2,92.741,89.495,88.601,4.881,8.127,9.022,9.022,"$768,778","$1,280,015","$1,420,970","$1,420,969.96"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3144255,12/2/2016,2016,Q4-2016,Dec,283,15792,15311,15234,13726,96.95%,96.47%,86.92%,86.92%,283,97.683,97.194,87.572,3.073,3.561,13.184,13.184,"$484,005","$560,930","$2,076,429","$2,076,428.97"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3144256,11/25/2016,2016,Q4-2016,Nov,280.7,15664,14975,14690,13515,95.60%,93.78%,86.28%,86.28%,280.7,95.54,93.724,86.226,4.397,6.212,13.71,13.71,"$692,561","$978,463","$2,159,389","$2,159,389.01"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3144257,11/20/2016,2016,Q4-2016,Nov,274.5,15318,15310,14820,14598,99.95%,96.75%,95.30%,95.30%,274.5,97.68,94.555,93.136,0.049,3.175,4.593,4.593,"$7,696","$500,006","$723,391","$723,391.35"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3144258,12/6/2016,2016,Q4-2016,Dec,277.8,15502,15037,14947,14842,97.00%,96.42%,95.74%,95.74%,277.8,95.937,95.361,94.694,2.967,3.543,4.21,4.21,"$467,323","$557,983","$663,119","$663,119.16"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3149424,12/16/2016,2016,Q4-2016,Dec,277.7,15497,14931,14827,14441,96.35%,95.68%,93.19%,93.19%,277.7,95.26,94.593,92.134,3.609,4.276,6.735,6.735,"$568,371","$673,395","$1,060,754","$1,060,753.96"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3149425,12/27/2016,2016,Q4-2016,Dec,278,15513,15009,14702,13467,96.75%,94.77%,86.81%,86.81%,278,95.759,93.796,85.917,3.217,5.18,13.059,13.059,"$506,631","$815,812","$2,056,729","$2,056,728.59"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3154479,2/2/2017,2017,Q1-2017,Feb,276.8,15446,14751,14692,13620,95.50%,95.12%,88.17%,88.17%,276.8,94.114,93.737,86.894,4.435,4.811,11.654,11.654,"$698,460","$757,752","$1,835,494","$1,835,494.20"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3154480,1/22/2017,2017,Q1-2017,Jan,274.4,15313,15205,14749,14631,99.30%,96.32%,95.55%,95.55%,274.4,97.01,94.1,93.347,0.684,3.594,4.347,4.347,"$107,707","$566,079","$684,645","$684,644.60"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3154481,1/26/2017,2017,Q1-2017,Jan,278.6,15547,15189,14779,14218,97.70%,95.06%,91.45%,91.45%,278.6,96.908,94.291,90.708,2.281,4.898,8.481,8.481,"$359,312","$771,412","$1,335,745","$1,335,745.30"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3160183,2/16/2017,2017,Q1-2017,Feb,275.6,15379,15349,14727,13328,99.80%,95.76%,86.66%,86.66%,275.6,97.925,93.959,85.033,0.196,4.162,13.088,13.088,"$30,908","$655,546","$2,061,404","$2,061,403.91"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3160184,2/21/2017,2017,Q1-2017,Feb,274.1,15296,14737,14074,13934,96.35%,92.01%,91.09%,91.09%,274.1,94.025,89.794,88.896,3.562,7.793,8.691,8.691,"$561,003","$1,227,405","$1,368,831","$1,368,830.63"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3160185,2/25/2017,2017,Q1-2017,Feb,278.9,15564,15346,15215,13846,98.60%,97.76%,88.96%,88.96%,278.9,97.906,97.074,88.337,1.39,2.222,10.959,10.959,"$218,947","$350,019","$1,726,036","$1,726,035.97"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3160186,3/1/2017,2017,Q1-2017,Mar,278.3,15530,15251,14511,14438,98.20%,93.44%,92.97%,92.97%,278.3,97.299,92.58,92.117,1.783,6.502,6.965,6.965,"$280,898","$1,024,139","$1,097,046","$1,097,045.78"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3160187,2/12/2017,2017,Q1-2017,Feb,277.4,15480,14768,14236,13354,95.40%,91.97%,86.26%,86.26%,277.4,94.219,90.827,85.196,4.543,7.935,13.566,13.566,"$715,529","$1,249,750","$2,136,675","$2,136,674.75"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3166416,3/21/2017,2017,Q1-2017,Mar,276.5,15430,15337,15061,14233,99.40%,97.61%,92.24%,92.24%,276.5,97.851,96.089,90.805,0.591,2.352,7.637,7.637,"$93,027","$370,434","$1,202,809","$1,202,808.84"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3166418,3/29/2017,2017,Q1-2017,Mar,276.6,15435,15397,14966,13574,99.75%,96.96%,87.94%,87.94%,276.6,98.231,95.48,86.601,0.246,2.997,11.876,11.876,"$38,775","$471,973","$1,870,522","$1,870,521.70"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3166419,4/2/2017,2017,Q2-2017,Apr,278.5,15541,15487,15131,15025,99.65%,97.36%,96.68%,96.68%,278.5,98.806,96.534,95.858,0.347,2.62,3.295,3.295,"$54,658","$412,585","$519,013","$519,013.21"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3166420,3/25/2017,2017,Q1-2017,Mar,277.1,15463,15007,14287,13872,97.05%,92.39%,89.71%,89.71%,277.1,95.745,91.149,88.506,2.91,7.506,10.149,10.149,"$458,376","$1,182,206","$1,598,529","$1,598,528.67"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3172091,4/17/2017,2017,Q2-2017,Apr,276.5,15430,15005,14255,13557,97.25%,92.39%,87.86%,87.86%,276.5,95.734,90.948,86.491,2.707,7.494,11.95,11.95,"$426,374","$1,180,282","$1,882,169","$1,882,169.45"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3172093,4/21/2017,2017,Q2-2017,Apr,277.1,15463,15061,15008,13733,97.40%,97.06%,88.81%,88.81%,277.1,96.09,95.754,87.615,2.565,2.901,11.04,11.04,"$403,992","$456,962","$1,738,864","$1,738,864.27"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3172096,4/25/2017,2017,Q2-2017,Apr,277.1,15463,14906,14675,13252,96.40%,94.91%,85.70%,85.70%,277.1,95.103,93.629,84.547,3.552,5.026,14.108,14.108,"$559,374","$791,545","$2,221,967","$2,221,967.47"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3172097,4/30/2017,2017,Q2-2017,Apr,274,15290,14809,14764,13627,96.85%,96.56%,89.12%,89.12%,274,94.478,94.195,86.942,3.073,3.356,10.609,10.609,"$483,977","$528,618","$1,670,968","$1,670,967.97"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3178927,5/7/2017,2017,Q2-2017,May,277.5,15485,14928,14368,13247,96.40%,92.79%,85.55%,85.55%,277.5,95.241,91.669,84.519,3.557,7.128,14.278,14.278,"$560,181","$1,122,697","$2,248,853","$2,248,853.08"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3184872,6/10/2017,2017,Q2-2017,Jun,277.7,15497,15295,14561,14008,98.70%,93.96%,90.39%,90.39%,277.7,97.583,92.899,89.369,1.285,5.969,9.499,9.499,"$202,434","$940,164","$1,496,166","$1,496,166.22"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3184891,6/14/2017,2017,Q2-2017,Jun,274.9,15340,14757,14543,13816,96.20%,94.81%,90.06%,90.06%,274.9,94.153,92.787,88.148,3.719,5.084,9.724,9.724,"$585,763","$800,784","$1,531,485","$1,531,484.54"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3184893,6/18/2017,2017,Q2-2017,Jun,277.2,15469,15461,15229,13858,99.95%,98.45%,89.59%,89.59%,277.2,98.641,97.162,88.417,0.049,1.529,10.274,10.274,"$7,772","$240,812","$1,618,078","$1,618,078.45"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3190903,8/11/2017,2017,Q3-2017,Aug,275.8,15391,14667,13949,13363,95.30%,90.63%,86.82%,86.82%,275.8,93.577,88.992,85.254,4.615,9.2,12.938,12.938,"$726,868","$1,449,049","$2,037,731","$2,037,730.61"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3190903,7/28/2017,2017,Q3-2017,Jul,275.8,15391,14621,14219,13081,95.00%,92.39%,85.00%,85.00%,275.8,93.283,90.717,83.46,4.91,7.475,14.732,14.732,"$773,263","$1,177,294","$2,320,332","$2,320,331.71"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3190905,8/3/2017,2017,Q3-2017,Aug,275.7,15385,15000,14723,14370,97.50%,95.70%,93.40%,93.40%,275.7,95.703,93.932,91.678,2.454,4.224,6.479,6.479,"$386,492","$665,345","$1,020,409","$1,020,408.81"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3196787,8/17/2017,2017,Q3-2017,Aug,275.7,15385,15285,15040,14995,99.35%,97.76%,97.47%,97.47%,275.7,97.519,95.958,95.67,0.638,2.198,2.486,2.486,"$100,488","$346,235","$391,575","$391,574.88"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3196788,8/22/2017,2017,Q3-2017,Aug,274.6,15324,14573,13939,13312,95.10%,90.96%,86.87%,86.87%,274.6,92.974,88.93,84.928,4.79,8.835,12.837,12.837,"$754,501","$1,391,492","$2,021,784","$2,021,784.36"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3196789,8/26/2017,2017,Q3-2017,Aug,274.3,15307,14733,14645,13780,96.25%,95.67%,90.03%,90.03%,274.3,93.996,93.432,87.92,3.662,4.226,9.739,9.739,"$576,793","$665,620","$1,533,836","$1,533,836.40"
1008,SSF-Manufacturing,10097432,Herceptin ,"$157,500",Herceptin 440MG VILY V1.1 EX-VV NC,0.00638,3196790,8/13/2017,2017,Q3-2017,Aug,275.9,15396,14927,14285,13299,96.95%,92.78%,86.38%,86.38%,275.9,95.232,91.137,84.848,2.996,7.091,13.379,13.379,"$471,862","$1,116,819","$2,107,249","$2,107,249.37"
